event_id,timestamp_ms,event_type,station_id,unit_id,checkpoint_id
CE000001,557354,RFID_CHECKPOINT,S13,U000001,CP_ALIGN_RFID
CE000002,619632,RFID_CHECKPOINT,S13,U000002,CP_ALIGN_RFID
CE000003,680713,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000004,689009,RFID_CHECKPOINT,S13,U000003,CP_ALIGN_RFID
CE000005,750126,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000006,755670,RFID_CHECKPOINT,S13,U000004,CP_ALIGN_RFID
CE000007,850676,RFID_CHECKPOINT,S13,U000005,CP_ALIGN_RFID
CE000008,919011,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000009,922054,RFID_CHECKPOINT,S13,U000006,CP_ALIGN_RFID
CE000010,988353,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000011,994884,RFID_CHECKPOINT,S13,U000007,CP_ALIGN_RFID
CE000012,1064367,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000013,1117377,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000014,1124008,RFID_CHECKPOINT,S13,U000009,CP_ALIGN_RFID
CE000015,1200432,RFID_CHECKPOINT,S13,U000010,CP_ALIGN_RFID
CE000016,1201160,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000017,1267704,RFID_CHECKPOINT,S13,U000011,CP_ALIGN_RFID
CE000018,1274200,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000019,1332547,RFID_CHECKPOINT,S13,U000012,CP_ALIGN_RFID
CE000020,1333918,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000021,1391017,RFID_CHECKPOINT,S30,U000001,CP_FINAL_RFID
CE000022,1399701,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000023,1438540,RFID_CHECKPOINT,S13,U000014,CP_ALIGN_RFID
CE000024,1448207,RFID_CHECKPOINT,S30,U000002,CP_FINAL_RFID
CE000025,1494057,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000026,1501307,RFID_CHECKPOINT,S13,U000015,CP_ALIGN_RFID
CE000027,1565366,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000028,1579598,RFID_CHECKPOINT,S30,U000003,CP_FINAL_RFID
CE000029,1608607,RFID_CHECKPOINT,S13,U000017,CP_ALIGN_RFID
CE000030,1614368,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000031,1647354,RFID_CHECKPOINT,S30,U000004,CP_FINAL_RFID
CE000032,1656251,RFID_CHECKPOINT,S13,U000018,CP_ALIGN_RFID
CE000033,1665642,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000034,1711128,RFID_CHECKPOINT,S13,U000019,CP_ALIGN_RFID
CE000035,1712004,RFID_CHECKPOINT,S30,U000005,CP_FINAL_RFID
CE000036,1768787,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000037,1775078,RFID_CHECKPOINT,S30,U000006,CP_FINAL_RFID
CE000038,1776511,RFID_CHECKPOINT,S13,U000020,CP_ALIGN_RFID
CE000039,1835697,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000040,1837138,RFID_CHECKPOINT,S13,U000021,CP_ALIGN_RFID
CE000041,1863423,RFID_CHECKPOINT,S30,U000007,CP_FINAL_RFID
CE000042,1894174,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000043,1899991,RFID_CHECKPOINT,S13,U000022,CP_ALIGN_RFID
CE000044,1928170,RFID_CHECKPOINT,S30,U000008,CP_FINAL_RFID
CE000045,1966869,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000046,1971770,RFID_CHECKPOINT,S13,U000023,CP_ALIGN_RFID
CE000047,2036211,RFID_CHECKPOINT,S13,U000024,CP_ALIGN_RFID
CE000048,2038365,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000049,2053831,RFID_CHECKPOINT,S30,U000010,CP_FINAL_RFID
CE000050,2090156,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000051,2090433,RFID_CHECKPOINT,S13,U000025,CP_ALIGN_RFID
CE000052,2106072,RFID_CHECKPOINT,S30,U000011,CP_FINAL_RFID
CE000053,2143880,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000054,2151538,RFID_CHECKPOINT,S13,U000026,CP_ALIGN_RFID
CE000055,2210664,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000056,2211774,RFID_CHECKPOINT,S30,U000012,CP_FINAL_RFID
CE000057,2220476,RFID_CHECKPOINT,S13,U000027,CP_ALIGN_RFID
CE000058,2273983,RFID_CHECKPOINT,S30,U000013,CP_FINAL_RFID
CE000059,2284172,RFID_CHECKPOINT,S13,U000028,CP_ALIGN_RFID
CE000060,2286770,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000061,2329103,RFID_CHECKPOINT,S30,U000014,CP_FINAL_RFID
CE000062,2396557,RFID_CHECKPOINT,S30,U000015,CP_FINAL_RFID
CE000063,2399946,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000064,2443897,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000065,2450257,RFID_CHECKPOINT,S30,U000016,CP_FINAL_RFID
CE000066,2516730,RFID_CHECKPOINT,S13,U000032,CP_ALIGN_RFID
CE000067,2520562,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000068,2569278,RFID_CHECKPOINT,S13,U000033,CP_ALIGN_RFID
CE000069,2571782,RFID_CHECKPOINT,S30,U000018,CP_FINAL_RFID
CE000070,2620519,RFID_CHECKPOINT,S30,U000019,CP_FINAL_RFID
CE000071,2633168,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000072,2633492,RFID_CHECKPOINT,S13,U000034,CP_ALIGN_RFID
CE000073,2672774,RFID_CHECKPOINT,S30,U000020,CP_FINAL_RFID
CE000074,2695101,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000075,2703473,RFID_CHECKPOINT,S13,U000035,CP_ALIGN_RFID
CE000076,2731544,RFID_CHECKPOINT,S30,U000021,CP_FINAL_RFID
CE000077,2771433,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000078,2772999,RFID_CHECKPOINT,S13,U000036,CP_ALIGN_RFID
CE000079,2783753,RFID_CHECKPOINT,S30,U000022,CP_FINAL_RFID
CE000080,2837095,RFID_CHECKPOINT,S13,U000037,CP_ALIGN_RFID
CE000081,2837760,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000082,2851424,RFID_CHECKPOINT,S30,U000023,CP_FINAL_RFID
CE000083,2892571,RFID_CHECKPOINT,S13,U000038,CP_ALIGN_RFID
CE000084,2897017,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000085,2912035,RFID_CHECKPOINT,S30,U000024,CP_FINAL_RFID
CE000086,2943842,RFID_CHECKPOINT,S13,U000039,CP_ALIGN_RFID
CE000087,2948933,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000088,2998378,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000089,3011294,RFID_CHECKPOINT,S30,U000025,CP_FINAL_RFID
CE000090,3068767,RFID_CHECKPOINT,S30,U000026,CP_FINAL_RFID
CE000091,3089011,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000092,3091797,RFID_CHECKPOINT,S13,U000041,CP_ALIGN_RFID
CE000093,3154177,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000094,3156865,RFID_CHECKPOINT,S13,U000042,CP_ALIGN_RFID
CE000095,3185706,RFID_CHECKPOINT,S30,U000028,CP_FINAL_RFID
CE000096,3218525,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000097,3227170,RFID_CHECKPOINT,S13,U000043,CP_ALIGN_RFID
CE000098,3256236,RFID_CHECKPOINT,S30,U000029,CP_FINAL_RFID
CE000099,3301837,RFID_CHECKPOINT,S13,U000044,CP_ALIGN_RFID
CE000100,3302017,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000101,3320786,RFID_CHECKPOINT,S30,U000030,CP_FINAL_RFID
CE000102,3363759,RFID_CHECKPOINT,S13,U000045,CP_ALIGN_RFID
CE000103,3366470,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000104,3385705,RFID_CHECKPOINT,S30,U000031,CP_FINAL_RFID
CE000105,3418756,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000106,3422231,RFID_CHECKPOINT,S13,U000046,CP_ALIGN_RFID
CE000107,3439745,RFID_CHECKPOINT,S30,U000032,CP_FINAL_RFID
CE000108,3481019,RFID_CHECKPOINT,S13,U000047,CP_ALIGN_RFID
CE000109,3486732,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000110,3500731,RFID_CHECKPOINT,S30,U000033,CP_FINAL_RFID
CE000111,3530877,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000112,3539743,RFID_CHECKPOINT,S13,U000048,CP_ALIGN_RFID
CE000113,3556722,RFID_CHECKPOINT,S30,U000034,CP_FINAL_RFID
CE000114,3602839,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000115,3606131,RFID_CHECKPOINT,S13,U000049,CP_ALIGN_RFID
CE000116,3667715,RFID_CHECKPOINT,S13,U000050,CP_ALIGN_RFID
CE000117,3669399,RFID_CHECKPOINT,S30,U000035,CP_FINAL_RFID
CE000118,3669969,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000119,3724857,RFID_CHECKPOINT,S30,U000036,CP_FINAL_RFID
CE000120,3725994,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000121,3726554,RFID_CHECKPOINT,S13,U000051,CP_ALIGN_RFID
CE000122,3785633,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000123,3794016,RFID_CHECKPOINT,S13,U000052,CP_ALIGN_RFID
CE000124,3862088,RFID_CHECKPOINT,S30,U000038,CP_FINAL_RFID
CE000125,3866089,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000126,3870584,RFID_CHECKPOINT,S13,U000053,CP_ALIGN_RFID
CE000127,3925113,RFID_CHECKPOINT,S30,U000039,CP_FINAL_RFID
CE000128,3931255,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000129,3936636,RFID_CHECKPOINT,S13,U000054,CP_ALIGN_RFID
CE000130,3988115,RFID_CHECKPOINT,S30,U000040,CP_FINAL_RFID
CE000131,3996978,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000132,4004510,RFID_CHECKPOINT,S13,U000055,CP_ALIGN_RFID
CE000133,4042065,RFID_CHECKPOINT,S30,U000041,CP_FINAL_RFID
CE000134,4064923,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000135,4073745,RFID_CHECKPOINT,S13,U000056,CP_ALIGN_RFID
CE000136,4112471,RFID_CHECKPOINT,S30,U000042,CP_FINAL_RFID
CE000137,4127522,RFID_CHECKPOINT,S13,U000057,CP_ALIGN_RFID
CE000138,4133092,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000139,4178796,RFID_CHECKPOINT,S30,U000043,CP_FINAL_RFID
CE000140,4181604,RFID_CHECKPOINT,S13,U000058,CP_ALIGN_RFID
CE000141,4243400,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000142,4248021,RFID_CHECKPOINT,S13,U000059,CP_ALIGN_RFID
CE000143,4287140,RFID_CHECKPOINT,S30,U000045,CP_FINAL_RFID
CE000144,4314664,RFID_CHECKPOINT,S13,U000060,CP_ALIGN_RFID
CE000145,4314985,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000146,4346648,RFID_CHECKPOINT,S30,U000046,CP_FINAL_RFID
CE000147,4372233,RFID_CHECKPOINT,S13,U000061,CP_ALIGN_RFID
CE000148,4378826,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000149,4412940,RFID_CHECKPOINT,S30,U000047,CP_FINAL_RFID
CE000150,4419356,RFID_CHECKPOINT,S13,U000062,CP_ALIGN_RFID
CE000151,4439009,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000152,4479743,RFID_CHECKPOINT,S13,U000063,CP_ALIGN_RFID
CE000153,4531586,RFID_CHECKPOINT,S30,U000049,CP_FINAL_RFID
CE000154,4550302,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000155,4555552,RFID_CHECKPOINT,S13,U000064,CP_ALIGN_RFID
CE000156,4586882,RFID_CHECKPOINT,S30,U000050,CP_FINAL_RFID
CE000157,4612899,RFID_CHECKPOINT,S13,U000065,CP_ALIGN_RFID
CE000158,4616643,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000159,4659154,RFID_CHECKPOINT,S30,U000051,CP_FINAL_RFID
CE000160,4667730,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000161,4669688,RFID_CHECKPOINT,S13,U000066,CP_ALIGN_RFID
CE000162,4728394,RFID_CHECKPOINT,S30,U000052,CP_FINAL_RFID
CE000163,4732594,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000164,4737765,RFID_CHECKPOINT,S13,U000067,CP_ALIGN_RFID
CE000165,4787506,RFID_CHECKPOINT,S30,U000053,CP_FINAL_RFID
CE000166,4804673,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000167,4805729,RFID_CHECKPOINT,S13,U000068,CP_ALIGN_RFID
CE000168,4844378,RFID_CHECKPOINT,S30,U000054,CP_FINAL_RFID
CE000169,4869430,RFID_CHECKPOINT,S13,U000069,CP_ALIGN_RFID
CE000170,4874177,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000171,4908514,RFID_CHECKPOINT,S30,U000055,CP_FINAL_RFID
CE000172,4920684,RFID_CHECKPOINT,S13,U000070,CP_ALIGN_RFID
CE000173,4924853,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000174,4967710,RFID_CHECKPOINT,S13,U000071,CP_ALIGN_RFID
CE000175,4976653,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000176,4994223,RFID_CHECKPOINT,S30,U000056,CP_FINAL_RFID
CE000177,5017182,RFID_CHECKPOINT,S13,U000072,CP_ALIGN_RFID
CE000178,5029950,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000179,5065051,RFID_CHECKPOINT,S30,U000057,CP_FINAL_RFID
CE000180,5075196,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000181,5076264,RFID_CHECKPOINT,S13,U000073,CP_ALIGN_RFID
CE000182,5131720,RFID_CHECKPOINT,S13,U000074,CP_ALIGN_RFID
CE000183,5135571,RFID_CHECKPOINT,S30,U000058,CP_FINAL_RFID
CE000184,5136531,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000185,5183047,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000186,5203718,RFID_CHECKPOINT,S30,U000059,CP_FINAL_RFID
CE000187,5267583,RFID_CHECKPOINT,S30,U000060,CP_FINAL_RFID
CE000188,5274605,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000189,5280858,RFID_CHECKPOINT,S13,U000076,CP_ALIGN_RFID
CE000190,5333340,RFID_CHECKPOINT,S30,U000061,CP_FINAL_RFID
CE000191,5348683,RFID_CHECKPOINT,S13,U000077,CP_ALIGN_RFID
CE000192,5350475,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000193,5392043,RFID_CHECKPOINT,S30,U000062,CP_FINAL_RFID
CE000194,5398707,RFID_CHECKPOINT,S13,U000078,CP_ALIGN_RFID
CE000195,5402893,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000196,5444723,RFID_CHECKPOINT,S13,U000079,CP_ALIGN_RFID
CE000197,5445776,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000198,5451086,RFID_CHECKPOINT,S30,U000063,CP_FINAL_RFID
CE000199,5497553,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000200,5508951,RFID_CHECKPOINT,S13,U000080,CP_ALIGN_RFID
CE000201,5514068,RFID_CHECKPOINT,S30,U000064,CP_FINAL_RFID
CE000202,5567787,RFID_CHECKPOINT,S30,U000065,CP_FINAL_RFID
CE000203,5574690,RFID_CHECKPOINT,S13,U000081,CP_ALIGN_RFID
CE000204,5582054,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000205,5617209,RFID_CHECKPOINT,S30,U000066,CP_FINAL_RFID
CE000206,5624664,RFID_CHECKPOINT,S13,U000082,CP_ALIGN_RFID
CE000207,5630406,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000208,5663859,RFID_CHECKPOINT,S30,U000067,CP_FINAL_RFID
CE000209,5677620,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000210,5737307,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000211,5760347,RFID_CHECKPOINT,S30,U000068,CP_FINAL_RFID
