timestamp_ms,station_id,sensor_type,value,unit
0,S01,VIBRATION,0.878819,g
0,S01,TEMPERATURE,42.4907,C
0,S01,CURRENT,12.6736,A
0,S01,TORQUE,51.5217,Nm
0,S02,VIBRATION,0.163907,g
0,S02,TEMPERATURE,39.815,C
0,S02,CURRENT,2.23392,A
0,S02,TORQUE,11.9445,Nm
0,S06,VIBRATION,0.176369,g
0,S06,TEMPERATURE,39.6788,C
0,S06,CURRENT,2.18426,A
0,S06,TORQUE,12.2211,Nm
0,S16,VIBRATION,0.209187,g
0,S16,TEMPERATURE,39.7834,C
0,S16,CURRENT,2.43903,A
0,S16,TORQUE,12.1809,Nm
0,S32,VIBRATION,0.234575,g
0,S32,TEMPERATURE,39.9212,C
0,S15,VIBRATION,0.123876,g
0,S15,TEMPERATURE,39.8948,C
0,S15,CURRENT,2.24022,A
0,S15,TORQUE,12.903,Nm
0,S05,VIBRATION,0.168618,g
0,S05,TEMPERATURE,39.8459,C
0,S05,CURRENT,2.36249,A
0,S05,TORQUE,12.5504,Nm
0,S14,VIBRATION,0.162385,g
0,S14,TEMPERATURE,39.7057,C
0,S31,VIBRATION,0.183692,g
0,S31,TEMPERATURE,39.9111,C
0,S29,VIBRATION,0.164736,g
0,S29,TEMPERATURE,39.9031,C
0,S29,CURRENT,2.30945,A
0,S29,TORQUE,12.6248,Nm
0,S12,VIBRATION,0.1923,g
0,S12,TEMPERATURE,39.7017,C
0,S12,CURRENT,2.38144,A
0,S12,TORQUE,12.4606,Nm
0,S28,VIBRATION,0.153268,g
0,S28,TEMPERATURE,39.6027,C
0,S28,CURRENT,2.42078,A
0,S28,TORQUE,11.6481,Nm
0,S27,VIBRATION,0.131786,g
0,S27,TEMPERATURE,39.6224,C
0,S03,VIBRATION,0.176255,g
0,S03,TEMPERATURE,39.6374,C
0,S03,CURRENT,2.1897,A
0,S03,TORQUE,12.0337,Nm
0,S04,VIBRATION,0.171709,g
0,S04,TEMPERATURE,40.0948,C
0,S11,VIBRATION,0.170259,g
0,S11,TEMPERATURE,39.9374,C
0,S11,CURRENT,2.2776,A
0,S11,TORQUE,12.4499,Nm
0,S26,VIBRATION,0.146928,g
0,S26,TEMPERATURE,39.691,C
0,S26,CURRENT,2.25151,A
0,S26,TORQUE,12.1658,Nm
0,S25,VIBRATION,0.184313,g
0,S25,TEMPERATURE,39.9088,C
0,S25,CURRENT,2.27911,A
0,S25,TORQUE,12.6196,Nm
0,S10,VIBRATION,0.125552,g
0,S10,TEMPERATURE,40.1264,C
0,S23,VIBRATION,0.163109,g
0,S23,TEMPERATURE,39.6448,C
0,S23,CURRENT,2.17411,A
0,S23,TORQUE,12.2026,Nm
0,S22,VIBRATION,0.240048,g
0,S22,TEMPERATURE,39.7715,C
0,S22,CURRENT,2.13991,A
0,S22,TORQUE,12.9797,Nm
0,S07,VIBRATION,0.207734,g
0,S07,TEMPERATURE,39.7,C
0,S07,CURRENT,2.27248,A
0,S07,TORQUE,12.409,Nm
0,S09,VIBRATION,0.179959,g
0,S09,TEMPERATURE,39.6934,C
0,S21,VIBRATION,0.210091,g
0,S21,TEMPERATURE,39.8982,C
0,S20,VIBRATION,0.190826,g
0,S20,TEMPERATURE,39.9967,C
0,S20,CURRENT,2.03817,A
0,S20,TORQUE,11.9738,Nm
0,S17,VIBRATION,0.197076,g
0,S17,TEMPERATURE,40.0125,C
0,S17,CURRENT,2.15293,A
0,S17,TORQUE,12.4946,Nm
0,S19,VIBRATION,0.183893,g
0,S19,TEMPERATURE,39.7608,C
0,S19,CURRENT,2.27894,A
0,S19,TORQUE,11.9978,Nm
8855,S22,VIBRATION,0.252439,g
8855,S22,TEMPERATURE,39.8132,C
8855,S22,CURRENT,2.21057,A
8855,S22,TORQUE,3.19453,Nm
8975,S19,VIBRATION,0.209453,g
8975,S19,TEMPERATURE,39.6145,C
8975,S19,CURRENT,2.27294,A
8975,S19,TORQUE,4.27978,Nm
9055,S02,VIBRATION,0.191517,g
9055,S02,TEMPERATURE,39.814,C
9055,S02,CURRENT,2.16542,A
9055,S02,TORQUE,3.42609,Nm
9061,S28,VIBRATION,0.180076,g
9061,S28,TEMPERATURE,40.0371,C
9061,S28,CURRENT,1.91099,A
9061,S28,TORQUE,3.12216,Nm
9124,S25,VIBRATION,0.210683,g
9124,S25,TEMPERATURE,39.5361,C
9124,S25,CURRENT,2.29288,A
9124,S25,TORQUE,3.61052,Nm
9184,S12,VIBRATION,0.156536,g
9184,S12,TEMPERATURE,39.2994,C
9184,S12,CURRENT,2.35567,A
9184,S12,TORQUE,3.54589,Nm
9308,S23,VIBRATION,0.136978,g
9308,S23,TEMPERATURE,39.4483,C
9308,S23,CURRENT,2.34028,A
9308,S23,TORQUE,3.4091,Nm
9700,S29,VIBRATION,0.196135,g
9700,S29,TEMPERATURE,39.8507,C
9700,S29,CURRENT,2.16821,A
9700,S29,TORQUE,3.16716,Nm
9759,S03,VIBRATION,0.201164,g
9759,S03,TEMPERATURE,39.5738,C
9759,S03,CURRENT,2.37021,A
9759,S03,TORQUE,2.61982,Nm
9924,S07,VIBRATION,0.20819,g
9924,S07,TEMPERATURE,39.6066,C
9924,S07,CURRENT,2.12646,A
9924,S07,TORQUE,3.07693,Nm
9935,S01,VIBRATION,1.01045,g
9935,S01,TEMPERATURE,44.5002,C
9935,S01,CURRENT,14.1974,A
9935,S01,TORQUE,53.7343,Nm
10136,S20,VIBRATION,0.254786,g
10136,S20,TEMPERATURE,39.9714,C
10136,S20,CURRENT,2.26209,A
10136,S20,TORQUE,3.44758,Nm
10379,S11,VIBRATION,0.180693,g
10379,S11,TEMPERATURE,40.0628,C
10379,S11,CURRENT,2.22077,A
10379,S11,TORQUE,4.00341,Nm
10401,S15,VIBRATION,0.17598,g
10401,S15,TEMPERATURE,40.0007,C
10401,S15,CURRENT,2.39936,A
10401,S15,TORQUE,3.77179,Nm
10462,S05,VIBRATION,0.188501,g
10462,S05,TEMPERATURE,39.7148,C
10462,S05,CURRENT,2.32406,A
10462,S05,TORQUE,3.83799,Nm
10504,S17,VIBRATION,0.221221,g
10504,S17,TEMPERATURE,39.6321,C
10504,S17,CURRENT,2.102,A
10504,S17,TORQUE,3.23892,Nm
10869,S16,VIBRATION,0.18325,g
10869,S16,TEMPERATURE,39.4413,C
10869,S16,CURRENT,2.20781,A
10869,S16,TORQUE,3.08082,Nm
11039,S06,VIBRATION,0.254053,g
11039,S06,TEMPERATURE,39.5605,C
11039,S06,CURRENT,2.32777,A
11039,S06,TORQUE,3.44669,Nm
11168,S26,VIBRATION,0.135755,g
11168,S26,TEMPERATURE,39.5904,C
11168,S26,CURRENT,2.02851,A
11168,S26,TORQUE,3.23671,Nm
18322,S25,VIBRATION,0.188886,g
18322,S25,TEMPERATURE,39.0388,C
18322,S25,CURRENT,2.26223,A
18322,S25,TORQUE,0.88809,Nm
18664,S02,VIBRATION,0.226555,g
18664,S02,TEMPERATURE,39.6893,C
18664,S02,CURRENT,2.09073,A
18664,S02,TORQUE,0.488895,Nm
18869,S01,VIBRATION,1.12518,g
18869,S01,TEMPERATURE,46.5371,C
18869,S01,CURRENT,14.386,A
18869,S01,TORQUE,54.4425,Nm
19036,S03,VIBRATION,0.183744,g
19036,S03,TEMPERATURE,39.4631,C
19036,S03,CURRENT,2.0941,A
19036,S03,TORQUE,0.741156,Nm
19228,S19,VIBRATION,0.182398,g
19228,S19,TEMPERATURE,39.6511,C
19228,S19,CURRENT,2.29859,A
19228,S19,TORQUE,1.79474,Nm
19241,S20,VIBRATION,0.168119,g
19241,S20,TEMPERATURE,39.773,C
19241,S20,CURRENT,2.45756,A
19241,S20,TORQUE,0.834013,Nm
19270,S22,VIBRATION,0.218968,g
19270,S22,TEMPERATURE,39.6463,C
19270,S22,CURRENT,2.04749,A
19270,S22,TORQUE,0.81583,Nm
19310,S29,VIBRATION,0.176703,g
19310,S29,TEMPERATURE,39.6499,C
19310,S29,CURRENT,2.07368,A
19310,S29,TORQUE,1.56994,Nm
19789,S07,VIBRATION,0.169763,g
19789,S07,TEMPERATURE,39.7295,C
19789,S07,CURRENT,2.31611,A
19789,S07,TORQUE,0.256915,Nm
19921,S12,VIBRATION,0.192649,g
19921,S12,TEMPERATURE,39.486,C
19921,S12,CURRENT,2.22392,A
19921,S12,TORQUE,0.822478,Nm
19942,S28,VIBRATION,0.201087,g
19942,S28,TEMPERATURE,39.9982,C
19942,S28,CURRENT,2.12465,A
19942,S28,TORQUE,1.19956,Nm
19976,S11,VIBRATION,0.218056,g
19976,S11,TEMPERATURE,39.6125,C
19976,S11,CURRENT,2.34869,A
19976,S11,TORQUE,1.04408,Nm
20017,S06,VIBRATION,0.196273,g
20017,S06,TEMPERATURE,39.748,C
20017,S06,CURRENT,2.24814,A
20017,S06,TORQUE,0,Nm
20149,S16,VIBRATION,0.210968,g
20149,S16,TEMPERATURE,39.3419,C
20149,S16,CURRENT,1.94877,A
20149,S16,TORQUE,0.722553,Nm
20170,S05,VIBRATION,0.177936,g
20170,S05,TEMPERATURE,40.0109,C
20170,S05,CURRENT,2.24707,A
20170,S05,TORQUE,1.76261,Nm
20468,S23,VIBRATION,0.146176,g
20468,S23,TEMPERATURE,39.619,C
20468,S23,CURRENT,1.98812,A
20468,S23,TORQUE,1.4196,Nm
20824,S17,VIBRATION,0.193987,g
20824,S17,TEMPERATURE,39.6331,C
20824,S17,CURRENT,2.43557,A
20824,S17,TORQUE,1.13029,Nm
20998,S15,VIBRATION,0.209766,g
20998,S15,TEMPERATURE,39.5968,C
20998,S15,CURRENT,2.12155,A
20998,S15,TORQUE,1.11262,Nm
21249,S26,VIBRATION,0.120802,g
21249,S26,TEMPERATURE,39.5628,C
21249,S26,CURRENT,2.28999,A
21249,S26,TORQUE,0.900043,Nm
26806,S10,VIBRATION,0.120866,g
26806,S10,TEMPERATURE,39.5664,C
26924,S14,VIBRATION,0.160142,g
26924,S14,TEMPERATURE,39.7287,C
26925,S32,VIBRATION,0.202307,g
26925,S32,TEMPERATURE,39.7106,C
27446,S09,VIBRATION,0.216031,g
27446,S09,TEMPERATURE,39.75,C
28281,S29,VIBRATION,0.202654,g
28281,S29,TEMPERATURE,39.4937,C
28281,S29,CURRENT,2.0892,A
28281,S29,TORQUE,1.61048,Nm
28469,S01,VIBRATION,1.13372,g
28469,S01,TEMPERATURE,48.0887,C
28469,S01,CURRENT,14.2269,A
28469,S01,TORQUE,55.5848,Nm
28743,S28,VIBRATION,0.215526,g
28743,S28,TEMPERATURE,39.8682,C
28743,S28,CURRENT,2.25,A
28743,S28,TORQUE,0.665442,Nm
28844,S25,VIBRATION,0.144368,g
28844,S25,TEMPERATURE,39.1382,C
28844,S25,CURRENT,2.19041,A
28844,S25,TORQUE,0,Nm
28873,S02,VIBRATION,0.203061,g
28873,S02,TEMPERATURE,39.4026,C
28873,S02,CURRENT,2.25878,A
28873,S02,TORQUE,0.762419,Nm
29080,S19,VIBRATION,0.184563,g
29080,S19,TEMPERATURE,39.3362,C
29080,S19,CURRENT,2.23613,A
29080,S19,TORQUE,0.98651,Nm
29244,S31,VIBRATION,0.147191,g
29244,S31,TEMPERATURE,39.7389,C
29389,S12,VIBRATION,0.140257,g
29389,S12,TEMPERATURE,39.2278,C
29389,S12,CURRENT,2.08891,A
29389,S12,TORQUE,0.0227899,Nm
29428,S27,VIBRATION,0.122918,g
29428,S27,TEMPERATURE,39.7585,C
29493,S22,VIBRATION,0.164339,g
29493,S22,TEMPERATURE,39.4249,C
29493,S22,CURRENT,1.94966,A
29493,S22,TORQUE,0.21283,Nm
29497,S20,VIBRATION,0.174779,g
29497,S20,TEMPERATURE,39.7142,C
29497,S20,CURRENT,2.17885,A
29497,S20,TORQUE,0,Nm
29647,S21,VIBRATION,0.196091,g
29647,S21,TEMPERATURE,40.1481,C
29656,S07,VIBRATION,0.148264,g
29656,S07,TEMPERATURE,39.7077,C
29656,S07,CURRENT,2.23043,A
29656,S07,TORQUE,0,Nm
29865,S11,VIBRATION,0.144407,g
29865,S11,TEMPERATURE,39.4516,C
29865,S11,CURRENT,1.99269,A
29865,S11,TORQUE,0.684054,Nm
30128,S03,VIBRATION,0.168488,g
30128,S03,TEMPERATURE,39.5371,C
30128,S03,CURRENT,2.13013,A
30128,S03,TORQUE,0.732263,Nm
30311,S16,VIBRATION,0.171571,g
30311,S16,TEMPERATURE,39.1242,C
30311,S16,CURRENT,2.36409,A
30311,S16,TORQUE,0.333662,Nm
30625,S06,VIBRATION,0.217457,g
30625,S06,TEMPERATURE,39.4511,C
30625,S06,CURRENT,2.17193,A
30625,S06,TORQUE,0.715246,Nm
30647,S05,VIBRATION,0.134828,g
30647,S05,TEMPERATURE,39.9932,C
30647,S05,CURRENT,2.16821,A
30647,S05,TORQUE,0,Nm
30692,S23,VIBRATION,0.233526,g
30692,S23,TEMPERATURE,39.7044,C
30692,S23,CURRENT,2.33793,A
30692,S23,TORQUE,0,Nm
31461,S17,VIBRATION,0.206503,g
31461,S17,TEMPERATURE,39.5619,C
31461,S17,CURRENT,2.21352,A
31461,S17,TORQUE,0.127256,Nm
31631,S15,VIBRATION,0.185096,g
31631,S15,TEMPERATURE,39.4855,C
31631,S15,CURRENT,2.05841,A
31631,S15,TORQUE,0.369486,Nm
31721,S26,VIBRATION,0.159437,g
31721,S26,TEMPERATURE,39.6196,C
31721,S26,CURRENT,2.25394,A
31721,S26,TORQUE,0.0938427,Nm
32130,S04,VIBRATION,0.178447,g
32130,S04,TEMPERATURE,39.9403,C
37315,S29,VIBRATION,0.157847,g
37315,S29,TEMPERATURE,39.2768,C
37315,S29,CURRENT,2.28324,A
37315,S29,TORQUE,0.839131,Nm
37635,S28,VIBRATION,0.192452,g
37635,S28,TEMPERATURE,39.6549,C
37635,S28,CURRENT,2.24901,A
37635,S28,TORQUE,0,Nm
38287,S25,VIBRATION,0.156121,g
38287,S25,TEMPERATURE,39.1661,C
38287,S25,CURRENT,2.20293,A
38287,S25,TORQUE,0,Nm
38398,S19,VIBRATION,0.184181,g
38398,S19,TEMPERATURE,39.3664,C
38398,S19,CURRENT,2.12562,A
38398,S19,TORQUE,0.156843,Nm
38481,S01,VIBRATION,1.16912,g
38481,S01,TEMPERATURE,49.6656,C
38481,S01,CURRENT,14.7585,A
38481,S01,TORQUE,55.5475,Nm
38763,S07,VIBRATION,0.159954,g
38763,S07,TEMPERATURE,39.4793,C
38763,S07,CURRENT,1.97766,A
38763,S07,TORQUE,0,Nm
39264,S11,VIBRATION,0.180797,g
39264,S11,TEMPERATURE,39.3769,C
39264,S11,CURRENT,2.34366,A
39264,S11,TORQUE,0.234016,Nm
39376,S12,VIBRATION,0.187829,g
39376,S12,TEMPERATURE,39.0466,C
39376,S12,CURRENT,2.13341,A
39376,S12,TORQUE,0,Nm
39524,S03,VIBRATION,0.219483,g
39524,S03,TEMPERATURE,39.7898,C
39524,S03,CURRENT,2.29329,A
39524,S03,TORQUE,0,Nm
39733,S22,VIBRATION,0.185036,g
39733,S22,TEMPERATURE,39.355,C
39733,S22,CURRENT,2.09291,A
39733,S22,TORQUE,0.242378,Nm
39764,S02,VIBRATION,0.916731,g
39764,S02,TEMPERATURE,41.9563,C
39764,S02,CURRENT,12.4486,A
39764,S02,TORQUE,39.7077,Nm
40480,S16,VIBRATION,0.146365,g
40480,S16,TEMPERATURE,39.1007,C
40480,S16,CURRENT,2.31079,A
40480,S16,TORQUE,0,Nm
40551,S05,VIBRATION,0.213832,g
40551,S05,TEMPERATURE,39.8839,C
40551,S05,CURRENT,2.00958,A
40551,S05,TORQUE,0.0217321,Nm
40681,S20,VIBRATION,0.184877,g
40681,S20,TEMPERATURE,39.6434,C
40681,S20,CURRENT,2.26402,A
40681,S20,TORQUE,0,Nm
40752,S06,VIBRATION,0.156837,g
40752,S06,TEMPERATURE,39.2952,C
40752,S06,CURRENT,2.45568,A
40752,S06,TORQUE,0.516598,Nm
41232,S23,VIBRATION,0.194483,g
41232,S23,TEMPERATURE,39.5737,C
41232,S23,CURRENT,2.33409,A
41232,S23,TORQUE,0,Nm
41570,S17,VIBRATION,0.218109,g
41570,S17,TEMPERATURE,39.5889,C
41570,S17,CURRENT,2.23462,A
41570,S17,TORQUE,0.339764,Nm
41591,S15,VIBRATION,0.178292,g
41591,S15,TEMPERATURE,39.4915,C
41591,S15,CURRENT,2.3069,A
41591,S15,TORQUE,0,Nm
42583,S26,VIBRATION,0.171812,g
42583,S26,TEMPERATURE,39.8083,C
42583,S26,CURRENT,2.16213,A
42583,S26,TORQUE,0,Nm
47578,S25,VIBRATION,0.120119,g
47578,S25,TEMPERATURE,38.6792,C
47578,S25,CURRENT,2.23438,A
47578,S25,TORQUE,0,Nm
48211,S01,VIBRATION,1.13328,g
48211,S01,TEMPERATURE,50.864,C
48211,S01,CURRENT,14.2804,A
48211,S01,TORQUE,55.4938,Nm
