event_id,timestamp_ms,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms,dark_zone_id
EV000001,0,PROCESSING_STARTED,S01,U000001,0,IDLE,PROCESSING,36528,
EV000002,36528,PROCESSING_COMPLETED,S01,U000001,0,PROCESSING,,36528,
EV000003,36528,UNIT_ARRIVED,S02,U000001,1,,,,
EV000004,36528,PROCESSING_STARTED,S02,U000001,0,IDLE,PROCESSING,41391,
EV000005,36528,PROCESSING_STARTED,S01,U000002,0,IDLE,PROCESSING,38514,
EV000006,75042,PROCESSING_COMPLETED,S01,U000002,0,PROCESSING,,38514,
EV000007,75042,UNIT_ARRIVED,S02,U000002,1,,,,
EV000008,75042,PROCESSING_STARTED,S01,U000003,0,IDLE,PROCESSING,35688,
EV000009,77919,PROCESSING_COMPLETED,S02,U000001,1,PROCESSING,,41391,
EV000010,77919,UNIT_ARRIVED,S03,U000001,1,,,,
EV000011,77919,PROCESSING_STARTED,S03,U000001,0,IDLE,PROCESSING,42812,
EV000012,77919,PROCESSING_STARTED,S02,U000002,0,IDLE,PROCESSING,31182,
EV000013,109101,PROCESSING_COMPLETED,S02,U000002,0,PROCESSING,,31182,
EV000014,109101,UNIT_ARRIVED,S03,U000002,1,,,,
EV000015,110730,PROCESSING_COMPLETED,S01,U000003,0,PROCESSING,,35688,
EV000016,110730,UNIT_ARRIVED,S02,U000003,1,,,,
EV000017,110730,PROCESSING_STARTED,S02,U000003,0,STARVED,PROCESSING,33597,
EV000018,110730,PROCESSING_STARTED,S01,U000004,0,IDLE,PROCESSING,31560,
EV000019,120731,PROCESSING_COMPLETED,S03,U000001,1,PROCESSING,,42812,
EV000020,120731,UNIT_ARRIVED,S04,U000001,1,,,,
EV000021,120731,PROCESSING_STARTED,S04,U000001,0,IDLE,PROCESSING,47672,
EV000022,120731,PROCESSING_STARTED,S03,U000002,0,IDLE,PROCESSING,41374,
EV000023,142290,PROCESSING_COMPLETED,S01,U000004,0,PROCESSING,,31560,
EV000024,142290,UNIT_ARRIVED,S02,U000004,1,,,,
EV000025,142290,PROCESSING_STARTED,S01,U000005,0,IDLE,PROCESSING,37133,
EV000026,144327,PROCESSING_COMPLETED,S02,U000003,1,PROCESSING,,33597,
EV000027,144327,UNIT_ARRIVED,S03,U000003,1,,,,
EV000028,144327,PROCESSING_STARTED,S02,U000004,0,IDLE,PROCESSING,43541,
EV000029,162105,PROCESSING_COMPLETED,S03,U000002,1,PROCESSING,,41374,
EV000030,162105,UNIT_ARRIVED,S04,U000002,1,,,,
EV000031,162105,PROCESSING_STARTED,S03,U000003,0,IDLE,PROCESSING,39318,
EV000032,168403,PROCESSING_COMPLETED,S04,U000001,1,PROCESSING,,47672,
EV000033,168403,UNIT_ARRIVED,S05,U000001,1,,,,
EV000034,168403,PROCESSING_STARTED,S05,U000001,0,IDLE,PROCESSING,39126,
EV000035,168403,PROCESSING_STARTED,S04,U000002,0,IDLE,PROCESSING,33084,
EV000036,179423,PROCESSING_COMPLETED,S01,U000005,0,PROCESSING,,37133,
EV000037,179423,UNIT_ARRIVED,S02,U000005,1,,,,
EV000038,179423,PROCESSING_STARTED,S01,U000006,0,IDLE,PROCESSING,27482,
EV000039,187868,PROCESSING_COMPLETED,S02,U000004,1,PROCESSING,,43541,
EV000040,187868,UNIT_ARRIVED,S03,U000004,1,,,,
EV000041,187868,PROCESSING_STARTED,S02,U000005,0,IDLE,PROCESSING,39411,
EV000042,201423,PROCESSING_COMPLETED,S03,U000003,1,PROCESSING,,39318,
EV000043,201423,UNIT_ARRIVED,S04,U000003,1,,,,
EV000044,201423,PROCESSING_STARTED,S03,U000004,0,IDLE,PROCESSING,41850,
EV000045,201487,PROCESSING_COMPLETED,S04,U000002,1,PROCESSING,,33084,
EV000046,201487,UNIT_ARRIVED,S05,U000002,1,,,,
EV000047,201487,PROCESSING_STARTED,S04,U000003,0,IDLE,PROCESSING,46357,
EV000048,206905,PROCESSING_COMPLETED,S01,U000006,0,PROCESSING,,27482,
EV000049,206905,UNIT_ARRIVED,S02,U000006,1,,,,
EV000050,206905,PROCESSING_STARTED,S01,U000007,0,IDLE,PROCESSING,35998,
EV000051,207529,PROCESSING_COMPLETED,S05,U000001,1,PROCESSING,,39126,
EV000052,207529,UNIT_ARRIVED,S06,U000001,1,,,,
EV000053,207529,PROCESSING_STARTED,S06,U000001,0,IDLE,PROCESSING,38120,
EV000054,207529,PROCESSING_STARTED,S05,U000002,0,IDLE,PROCESSING,44968,
EV000055,227279,PROCESSING_COMPLETED,S02,U000005,1,PROCESSING,,39411,
EV000056,227279,UNIT_ARRIVED,S03,U000005,1,,,,
EV000057,227279,PROCESSING_STARTED,S02,U000006,0,IDLE,PROCESSING,34138,
EV000058,242903,PROCESSING_COMPLETED,S01,U000007,0,PROCESSING,,35998,
EV000059,242903,UNIT_ARRIVED,S02,U000007,1,,,,
EV000060,242903,PROCESSING_STARTED,S01,U000008,0,IDLE,PROCESSING,37937,
EV000061,243273,PROCESSING_COMPLETED,S03,U000004,1,PROCESSING,,41850,
EV000062,243273,UNIT_ARRIVED,S04,U000004,1,,,,
EV000063,243273,PROCESSING_STARTED,S03,U000005,0,IDLE,PROCESSING,41014,
EV000064,245649,PROCESSING_COMPLETED,S06,U000001,0,PROCESSING,,38120,
EV000065,245649,UNIT_ARRIVED,S07,U000001,1,,,,
EV000066,245649,PROCESSING_STARTED,S07,U000001,0,IDLE,PROCESSING,48897,
EV000067,247844,PROCESSING_COMPLETED,S04,U000003,1,PROCESSING,,46357,
EV000068,247844,UNIT_ARRIVED,S05,U000003,1,,,,
EV000069,247844,PROCESSING_STARTED,S04,U000004,0,IDLE,PROCESSING,38688,
