unit_id,created_at_ms,vehicle_model,supplier_batch
U000001,0,MODEL_A,BATCH_01
U000002,36528,MODEL_A,BATCH_01
U000003,75042,MODEL_A,BATCH_01
U000004,110730,MODEL_A,BATCH_01
U000005,142290,MODEL_B,BATCH_01
U000006,179423,MODEL_A,BATCH_01
U000007,206905,MODEL_A,BATCH_02
U000008,242903,MODEL_A,BATCH_01
U000009,280840,MODEL_A,BATCH_01
U000010,316292,MODEL_B,BATCH_01
U000011,356795,MODEL_A,BATCH_01
U000012,396864,MODEL_A,BATCH_01
U000013,436184,MODEL_A,BATCH_01
U000014,469669,MODEL_A,BATCH_02
U000015,504044,MODEL_B,BATCH_01
U000016,547280,MODEL_A,BATCH_01
U000017,581897,MODEL_A,BATCH_01
U000018,611489,MODEL_A,BATCH_01
U000019,649123,MODEL_A,BATCH_01
U000020,677015,MODEL_B,BATCH_01
U000021,714018,MODEL_A,BATCH_02
U000022,748173,MODEL_A,BATCH_01
U000023,780438,MODEL_A,BATCH_01
U000024,822470,MODEL_A,BATCH_01
U000025,853959,MODEL_B,BATCH_01
U000026,893885,MODEL_A,BATCH_01
U000027,929475,MODEL_A,BATCH_01
U000028,968958,MODEL_A,BATCH_02
U000029,1004625,MODEL_A,BATCH_01
U000030,1032386,MODEL_B,BATCH_01
U000031,1068269,MODEL_A,BATCH_01
U000032,1110378,MODEL_A,BATCH_01
U000033,1144998,MODEL_A,BATCH_01
U000034,1188257,MODEL_A,BATCH_01
U000035,1220106,MODEL_B,BATCH_02
U000036,1256853,MODEL_A,BATCH_01
U000037,1291390,MODEL_A,BATCH_01
U000038,1335829,MODEL_A,BATCH_01
U000039,1370287,MODEL_A,BATCH_01
U000040,1413164,MODEL_B,BATCH_01
U000041,1452072,MODEL_A,BATCH_01
U000042,1483641,MODEL_A,BATCH_02
U000043,1516233,MODEL_A,BATCH_01
U000044,1555534,MODEL_A,BATCH_01
U000045,1601883,MODEL_B,BATCH_01
U000046,1646427,MODEL_A,BATCH_01
U000047,1691031,MODEL_A,BATCH_01
U000048,1739874,MODEL_A,BATCH_01
U000049,1771112,MODEL_A,BATCH_02
U000050,1809188,MODEL_B,BATCH_01
U000051,1842956,MODEL_A,BATCH_01
U000052,1877108,MODEL_A,BATCH_01
U000053,1924126,MODEL_A,BATCH_01
U000054,1963201,MODEL_A,BATCH_01
U000055,1997015,MODEL_B,BATCH_01
U000056,2035122,MODEL_A,BATCH_02
U000057,2069709,MODEL_A,BATCH_01
U000058,2111397,MODEL_A,BATCH_01
U000059,2144912,MODEL_A,BATCH_01
U000060,2185166,MODEL_B,BATCH_01
U000061,2225704,MODEL_A,BATCH_01
U000062,2264455,MODEL_A,BATCH_01
U000063,2298974,MODEL_A,BATCH_02
U000064,2332831,MODEL_A,BATCH_01
U000065,2365651,MODEL_B,BATCH_01
U000066,2404282,MODEL_A,BATCH_01
U000067,2441388,MODEL_A,BATCH_01
U000068,2471522,MODEL_A,BATCH_01
U000069,2510370,MODEL_A,BATCH_01
U000070,2550915,MODEL_B,BATCH_02
U000071,2583544,MODEL_A,BATCH_01
U000072,2617767,MODEL_A,BATCH_01
U000073,2658069,MODEL_A,BATCH_01
U000074,2696509,MODEL_A,BATCH_01
U000075,2729266,MODEL_B,BATCH_01
U000076,2771555,MODEL_A,BATCH_01
U000077,2811580,MODEL_A,BATCH_02
