event_id,timestamp_ms,event_type,station_id,unit_id,checkpoint_id
CE000001,638887,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000002,640934,RFID_CHECKPOINT,S13,U000002,CP_ALIGN_RFID
CE000003,708792,RFID_CHECKPOINT,S13,U000003,CP_ALIGN_RFID
CE000004,709541,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000005,766868,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000006,770634,RFID_CHECKPOINT,S13,U000004,CP_ALIGN_RFID
CE000007,836880,RFID_CHECKPOINT,S13,U000005,CP_ALIGN_RFID
CE000008,897533,RFID_CHECKPOINT,S13,U000006,CP_ALIGN_RFID
CE000009,903111,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000010,958706,RFID_CHECKPOINT,S13,U000007,CP_ALIGN_RFID
CE000011,959760,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000012,1023224,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000013,1026723,RFID_CHECKPOINT,S13,U000008,CP_ALIGN_RFID
CE000014,1103994,RFID_CHECKPOINT,S13,U000009,CP_ALIGN_RFID
CE000015,1175784,RFID_CHECKPOINT,S13,U000010,CP_ALIGN_RFID
CE000016,1176784,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000017,1237234,RFID_CHECKPOINT,S13,U000011,CP_ALIGN_RFID
CE000018,1300927,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000019,1303093,RFID_CHECKPOINT,S13,U000012,CP_ALIGN_RFID
CE000020,1359436,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000021,1369904,RFID_CHECKPOINT,S13,U000013,CP_ALIGN_RFID
CE000022,1433078,RFID_CHECKPOINT,S13,U000014,CP_ALIGN_RFID
CE000023,1453923,RFID_CHECKPOINT,S30,U000001,CP_FINAL_RFID
CE000024,1491024,POWER_DRAW,S14,,CP_ALIGN_POWER
CE000025,1494850,RFID_CHECKPOINT,S13,U000015,CP_ALIGN_RFID
CE000026,1534943,RFID_CHECKPOINT,S30,U000002,CP_FINAL_RFID
