timestamp_ms,station_id,sensor_type,value,unit
0,S01,VIBRATION,0.795953,g
0,S01,TEMPERATURE,42.403,C
0,S01,CURRENT,12.6823,A
0,S01,TORQUE,51.277,Nm
0,S02,VIBRATION,0.132127,g
0,S02,TEMPERATURE,39.7617,C
0,S02,CURRENT,2.34778,A
0,S02,TORQUE,12.8465,Nm
0,S06,VIBRATION,0.101465,g
0,S06,TEMPERATURE,39.7413,C
0,S06,CURRENT,2.18085,A
0,S06,TORQUE,12.812,Nm
0,S16,VIBRATION,0.178436,g
0,S16,TEMPERATURE,39.7418,C
0,S16,CURRENT,2.23358,A
0,S16,TORQUE,12.3002,Nm
0,S32,VIBRATION,0.175545,g
0,S32,TEMPERATURE,39.9792,C
0,S15,VIBRATION,0.204231,g
0,S15,TEMPERATURE,39.8204,C
0,S15,CURRENT,2.33309,A
0,S15,TORQUE,12.783,Nm
0,S05,VIBRATION,0.191612,g
0,S05,TEMPERATURE,39.9035,C
0,S05,CURRENT,2.0693,A
0,S05,TORQUE,12.3731,Nm
0,S14,VIBRATION,0.11398,g
0,S14,TEMPERATURE,39.9074,C
0,S31,VIBRATION,0.214838,g
0,S31,TEMPERATURE,39.7421,C
0,S29,VIBRATION,0.136819,g
0,S29,TEMPERATURE,39.9362,C
0,S29,CURRENT,2.08654,A
0,S29,TORQUE,12.75,Nm
0,S12,VIBRATION,0.126481,g
0,S12,TEMPERATURE,39.8259,C
0,S12,CURRENT,2.43099,A
0,S12,TORQUE,12.6564,Nm
0,S28,VIBRATION,0.13415,g
0,S28,TEMPERATURE,39.8379,C
0,S28,CURRENT,2.21271,A
0,S28,TORQUE,11.8072,Nm
0,S27,VIBRATION,0.163254,g
0,S27,TEMPERATURE,39.928,C
0,S03,VIBRATION,0.190802,g
0,S03,TEMPERATURE,39.807,C
0,S03,CURRENT,2.25711,A
0,S03,TORQUE,13.1059,Nm
0,S04,VIBRATION,0.151464,g
0,S04,TEMPERATURE,39.8889,C
0,S11,VIBRATION,0.14642,g
0,S11,TEMPERATURE,40.1179,C
0,S11,CURRENT,2.10029,A
0,S11,TORQUE,11.9585,Nm
0,S26,VIBRATION,0.2354,g
0,S26,TEMPERATURE,40.0195,C
0,S26,CURRENT,2.23703,A
0,S26,TORQUE,12.8061,Nm
0,S25,VIBRATION,0.124864,g
0,S25,TEMPERATURE,39.9775,C
0,S25,CURRENT,2.12626,A
0,S25,TORQUE,12.4689,Nm
0,S10,VIBRATION,0.17338,g
0,S10,TEMPERATURE,39.9421,C
0,S23,VIBRATION,0.128424,g
0,S23,TEMPERATURE,39.8422,C
0,S23,CURRENT,2.271,A
0,S23,TORQUE,11.8041,Nm
0,S22,VIBRATION,0.209358,g
0,S22,TEMPERATURE,40.0597,C
0,S22,CURRENT,2.3839,A
0,S22,TORQUE,12.1679,Nm
0,S07,VIBRATION,0.169369,g
0,S07,TEMPERATURE,39.8792,C
0,S07,CURRENT,2.21786,A
0,S07,TORQUE,11.8641,Nm
0,S09,VIBRATION,0.203776,g
0,S09,TEMPERATURE,39.7766,C
0,S21,VIBRATION,0.182219,g
0,S21,TEMPERATURE,39.7676,C
0,S20,VIBRATION,0.138894,g
0,S20,TEMPERATURE,40.0222,C
0,S20,CURRENT,2.16262,A
0,S20,TORQUE,13.1472,Nm
0,S17,VIBRATION,0.211254,g
0,S17,TEMPERATURE,40.0702,C
0,S17,CURRENT,2.1605,A
0,S17,TORQUE,12.7828,Nm
0,S19,VIBRATION,0.20172,g
0,S19,TEMPERATURE,39.7952,C
0,S19,CURRENT,2.09682,A
0,S19,TORQUE,12.3525,Nm
9031,S11,VIBRATION,0.155903,g
9031,S11,TEMPERATURE,39.8675,C
9031,S11,CURRENT,2.13759,A
