event_id,timestamp_ms,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms,dark_zone_id
EV000001,0,PROCESSING_STARTED,S01,U000001,0,IDLE,PROCESSING,33824,
EV000002,33824,PROCESSING_COMPLETED,S01,U000001,0,PROCESSING,,33824,
EV000003,33824,UNIT_ARRIVED,S02,U000001,1,,,,
EV000004,33824,PROCESSING_STARTED,S02,U000001,0,IDLE,PROCESSING,42812,
EV000005,33824,PROCESSING_STARTED,S01,U000002,0,IDLE,PROCESSING,37002,
EV000006,70826,PROCESSING_COMPLETED,S01,U000002,0,PROCESSING,,37002,
EV000007,70826,UNIT_ARRIVED,S02,U000002,1,,,,
EV000008,70826,PROCESSING_STARTED,S01,U000003,0,IDLE,PROCESSING,33913,
EV000009,76636,PROCESSING_COMPLETED,S02,U000001,1,PROCESSING,,42812,
EV000010,76636,UNIT_ARRIVED,S03,U000001,1,,,,
EV000011,76636,PROCESSING_STARTED,S03,U000001,0,IDLE,PROCESSING,41689,
EV000012,76636,PROCESSING_STARTED,S02,U000002,0,IDLE,PROCESSING,36103,
EV000013,104739,PROCESSING_COMPLETED,S01,U000003,0,PROCESSING,,33913,
EV000014,104739,UNIT_ARRIVED,S02,U000003,1,,,,
EV000015,104739,PROCESSING_STARTED,S01,U000004,0,IDLE,PROCESSING,33046,
EV000016,112739,PROCESSING_COMPLETED,S02,U000002,1,PROCESSING,,36103,
EV000017,112739,UNIT_ARRIVED,S03,U000002,1,,,,
EV000018,112739,PROCESSING_STARTED,S02,U000003,0,IDLE,PROCESSING,38952,
EV000019,118325,PROCESSING_COMPLETED,S03,U000001,1,PROCESSING,,41689,
EV000020,118325,UNIT_ARRIVED,S04,U000001,1,,,,
EV000021,118325,PROCESSING_STARTED,S04,U000001,0,IDLE,PROCESSING,44608,
EV000022,118325,PROCESSING_STARTED,S03,U000002,0,IDLE,PROCESSING,42573,
EV000023,137785,PROCESSING_COMPLETED,S01,U000004,0,PROCESSING,,33046,
EV000024,137785,UNIT_ARRIVED,S02,U000004,1,,,,
EV000025,137785,PROCESSING_STARTED,S01,U000005,0,IDLE,PROCESSING,43545,
EV000026,151691,PROCESSING_COMPLETED,S02,U000003,1,PROCESSING,,38952,
EV000027,151691,UNIT_ARRIVED,S03,U000003,1,,,,
EV000028,151691,PROCESSING_STARTED,S02,U000004,0,IDLE,PROCESSING,37888,
EV000029,160898,PROCESSING_COMPLETED,S03,U000002,1,PROCESSING,,42573,
EV000030,160898,UNIT_ARRIVED,S04,U000002,1,,,,
EV000031,160898,PROCESSING_STARTED,S03,U000003,0,IDLE,PROCESSING,49235,
EV000032,162933,PROCESSING_COMPLETED,S04,U000001,1,PROCESSING,,44608,
EV000033,162933,UNIT_ARRIVED,S05,U000001,1,,,,
EV000034,162933,PROCESSING_STARTED,S05,U000001,0,IDLE,PROCESSING,44719,
EV000035,162933,PROCESSING_STARTED,S04,U000002,0,IDLE,PROCESSING,40369,
EV000036,181330,PROCESSING_COMPLETED,S01,U000005,0,PROCESSING,,43545,
EV000037,181330,UNIT_ARRIVED,S02,U000005,1,,,,
EV000038,181330,PROCESSING_STARTED,S01,U000006,0,IDLE,PROCESSING,34391,
EV000039,189579,PROCESSING_COMPLETED,S02,U000004,1,PROCESSING,,37888,
EV000040,189579,UNIT_ARRIVED,S03,U000004,1,,,,
EV000041,189579,PROCESSING_STARTED,S02,U000005,0,IDLE,PROCESSING,44621,
EV000042,203302,PROCESSING_COMPLETED,S04,U000002,0,PROCESSING,,40369,
EV000043,203302,UNIT_ARRIVED,S05,U000002,1,,,,
EV000044,207652,PROCESSING_COMPLETED,S05,U000001,1,PROCESSING,,44719,
EV000045,207652,UNIT_ARRIVED,S06,U000001,1,,,,
EV000046,207652,PROCESSING_STARTED,S06,U000001,0,IDLE,PROCESSING,40027,
EV000047,207652,PROCESSING_STARTED,S05,U000002,0,IDLE,PROCESSING,48092,
EV000048,210133,PROCESSING_COMPLETED,S03,U000003,1,PROCESSING,,49235,
EV000049,210133,UNIT_ARRIVED,S04,U000003,1,,,,
EV000050,210133,PROCESSING_STARTED,S04,U000003,0,STARVED,PROCESSING,48401,
EV000051,210133,PROCESSING_STARTED,S03,U000004,0,IDLE,PROCESSING,42806,
EV000052,215721,PROCESSING_COMPLETED,S01,U000006,0,PROCESSING,,34391,
EV000053,215721,UNIT_ARRIVED,S02,U000006,1,,,,
EV000054,215721,PROCESSING_STARTED,S01,U000007,0,IDLE,PROCESSING,32880,
EV000055,234200,PROCESSING_COMPLETED,S02,U000005,1,PROCESSING,,44621,
EV000056,234200,UNIT_ARRIVED,S03,U000005,1,,,,
EV000057,234200,PROCESSING_STARTED,S02,U000006,0,IDLE,PROCESSING,42472,
EV000058,247679,PROCESSING_COMPLETED,S06,U000001,0,PROCESSING,,40027,
EV000059,247679,UNIT_ARRIVED,S07,U000001,1,,,,
EV000060,247679,PROCESSING_STARTED,S07,U000001,0,IDLE,PROCESSING,50035,
EV000061,248601,PROCESSING_COMPLETED,S01,U000007,0,PROCESSING,,32880,
EV000062,248601,UNIT_ARRIVED,S02,U000007,1,,,,
EV000063,248601,PROCESSING_STARTED,S01,U000008,0,IDLE,PROCESSING,32197,
EV000064,252939,PROCESSING_COMPLETED,S03,U000004,1,PROCESSING,,42806,
EV000065,252939,UNIT_ARRIVED,S04,U000004,1,,,,
EV000066,252939,PROCESSING_STARTED,S03,U000005,0,IDLE,PROCESSING,41670,
EV000067,255744,PROCESSING_COMPLETED,S05,U000002,0,PROCESSING,,48092,
EV000068,255744,UNIT_ARRIVED,S06,U000002,1,,,,
EV000069,255744,PROCESSING_STARTED,S06,U000002,0,STARVED,PROCESSING,43495,
EV000070,258534,PROCESSING_COMPLETED,S04,U000003,1,PROCESSING,,48401,
EV000071,258534,UNIT_ARRIVED,S05,U000003,1,,,,
EV000072,258534,PROCESSING_STARTED,S05,U000003,0,STARVED,PROCESSING,43402,
EV000073,258534,PROCESSING_STARTED,S04,U000004,0,IDLE,PROCESSING,40913,
EV000074,276672,PROCESSING_COMPLETED,S02,U000006,1,PROCESSING,,42472,
EV000075,276672,UNIT_ARRIVED,S03,U000006,1,,,,
EV000076,276672,PROCESSING_STARTED,S02,U000007,0,IDLE,PROCESSING,36529,
EV000077,280798,PROCESSING_COMPLETED,S01,U000008,0,PROCESSING,,32197,
EV000078,280798,UNIT_ARRIVED,S02,U000008,1,,,,
EV000079,280798,PROCESSING_STARTED,S01,U000009,0,IDLE,PROCESSING,35551,
EV000080,294609,PROCESSING_COMPLETED,S03,U000005,1,PROCESSING,,41670,
