unit_id,created_at_ms,vehicle_model,supplier_batch
U000001,0,MODEL_A,BATCH_01
U000002,33824,MODEL_A,BATCH_01
U000003,70826,MODEL_A,BATCH_01
U000004,104739,MODEL_A,BATCH_01
U000005,137785,MODEL_B,BATCH_01
U000006,181330,MODEL_A,BATCH_01
U000007,215721,MODEL_A,BATCH_02
U000008,248601,MODEL_A,BATCH_01
U000009,280798,MODEL_A,BATCH_01
U000010,316349,MODEL_B,BATCH_01
U000011,359154,MODEL_A,BATCH_01
U000012,393310,MODEL_A,BATCH_01
U000013,426042,MODEL_A,BATCH_01
U000014,462141,MODEL_A,BATCH_02
U000015,504324,MODEL_B,BATCH_01
U000016,540576,MODEL_A,BATCH_01
U000017,576130,MODEL_A,BATCH_01
U000018,613463,MODEL_A,BATCH_01
U000019,641705,MODEL_A,BATCH_01
U000020,683351,MODEL_B,BATCH_01
U000021,729274,MODEL_A,BATCH_02
U000022,769729,MODEL_A,BATCH_01
U000023,803332,MODEL_A,BATCH_01
U000024,839173,MODEL_A,BATCH_01
U000025,876063,MODEL_B,BATCH_01
U000026,917433,MODEL_A,BATCH_01
U000027,950887,MODEL_A,BATCH_01
U000028,984124,MODEL_A,BATCH_02
U000029,1027643,MODEL_A,BATCH_01
U000030,1060249,MODEL_B,BATCH_01
U000031,1095568,MODEL_A,BATCH_01
U000032,1138256,MODEL_A,BATCH_01
U000033,1175042,MODEL_A,BATCH_01
U000034,1213944,MODEL_A,BATCH_01
U000035,1247400,MODEL_B,BATCH_02
U000036,1282185,MODEL_A,BATCH_01
U000037,1320281,MODEL_A,BATCH_01
U000038,1356479,MODEL_A,BATCH_01
U000039,1391574,MODEL_A,BATCH_01
U000040,1424305,MODEL_B,BATCH_01
U000041,1459107,MODEL_A,BATCH_01
U000042,1499521,MODEL_A,BATCH_02
U000043,1538558,MODEL_A,BATCH_01
U000044,1577746,MODEL_A,BATCH_01
U000045,1614517,MODEL_B,BATCH_01
U000046,1647918,MODEL_A,BATCH_01
U000047,1679600,MODEL_A,BATCH_01
U000048,1712476,MODEL_A,BATCH_01
U000049,1749073,MODEL_A,BATCH_02
U000050,1783169,MODEL_B,BATCH_01
U000051,1821287,MODEL_A,BATCH_01
U000052,1862613,MODEL_A,BATCH_01
U000053,1897159,MODEL_A,BATCH_01
U000054,1931710,MODEL_A,BATCH_01
U000055,1970370,MODEL_B,BATCH_01
U000056,2012411,MODEL_A,BATCH_02
U000057,2051631,MODEL_A,BATCH_01
U000058,2078745,MODEL_A,BATCH_01
U000059,2117831,MODEL_A,BATCH_01
U000060,2157322,MODEL_B,BATCH_01
U000061,2191363,MODEL_A,BATCH_01
U000062,2227780,MODEL_A,BATCH_01
U000063,2265576,MODEL_A,BATCH_02
U000064,2304056,MODEL_A,BATCH_01
U000065,2333986,MODEL_B,BATCH_01
U000066,2365950,MODEL_A,BATCH_01
U000067,2405043,MODEL_A,BATCH_01
U000068,2447087,MODEL_A,BATCH_01
U000069,2487417,MODEL_A,BATCH_01
U000070,2522859,MODEL_B,BATCH_02
U000071,2567402,MODEL_A,BATCH_01
U000072,2609446,MODEL_A,BATCH_01
U000073,2644414,MODEL_A,BATCH_01
U000074,2678022,MODEL_A,BATCH_01
U000075,2706049,MODEL_B,BATCH_01
U000076,2738684,MODEL_A,BATCH_01
U000077,2776373,MODEL_A,BATCH_02
U000078,2810444,MODEL_A,BATCH_01
U000079,2841322,MODEL_A,BATCH_01
U000080,2874928,MODEL_B,BATCH_01
U000081,2907208,MODEL_A,BATCH_01
U000082,2943311,MODEL_A,BATCH_01
U000083,2975512,MODEL_A,BATCH_01
U000084,3015690,MODEL_A,BATCH_02
U000085,3047631,MODEL_B,BATCH_01
U000086,3087473,MODEL_A,BATCH_01
U000087,3127270,MODEL_A,BATCH_01
U000088,3164606,MODEL_A,BATCH_01
U000089,3200992,MODEL_A,BATCH_01
U000090,3241804,MODEL_B,BATCH_01
U000091,3279932,MODEL_A,BATCH_02
U000092,3320032,MODEL_A,BATCH_01
U000093,3360247,MODEL_A,BATCH_01
U000094,3399732,MODEL_A,BATCH_01
U000095,3437101,MODEL_B,BATCH_01
U000096,3472380,MODEL_A,BATCH_01
U000097,3507578,MODEL_A,BATCH_01
U000098,3544316,MODEL_A,BATCH_02
U000099,3582577,MODEL_A,BATCH_01
U000100,3618912,MODEL_B,BATCH_01
U000101,3661983,MODEL_A,BATCH_01
U000102,3698635,MODEL_A,BATCH_01
U000103,3743747,MODEL_A,BATCH_01
U000104,3780199,MODEL_A,BATCH_01
U000105,3818517,MODEL_B,BATCH_02
U000106,3852846,MODEL_A,BATCH_01
U000107,3885677,MODEL_A,BATCH_01
U000108,3916130,MODEL_A,BATCH_01
U000109,3950758,MODEL_A,BATCH_01
U000110,3983801,MODEL_B,BATCH_01
U000111,4021418,MODEL_A,BATCH_01
U000112,4052055,MODEL_A,BATCH_02
U000113,4087748,MODEL_A,BATCH_01
U000114,4123075,MODEL_A,BATCH_01
U000115,4153387,MODEL_B,BATCH_01
U000116,4190464,MODEL_A,BATCH_01
U000117,4222161,MODEL_A,BATCH_01
U000118,4256919,MODEL_A,BATCH_01
U000119,4290623,MODEL_A,BATCH_02
U000120,4331723,MODEL_B,BATCH_01
U000121,4370322,MODEL_A,BATCH_01
U000122,4401491,MODEL_A,BATCH_01
U000123,4436318,MODEL_A,BATCH_01
U000124,4468027,MODEL_A,BATCH_01
U000125,4500399,MODEL_B,BATCH_01
U000126,4536320,MODEL_A,BATCH_02
U000127,4568668,MODEL_A,BATCH_01
U000128,4604280,MODEL_A,BATCH_01
U000129,4638118,MODEL_A,BATCH_01
U000130,4672495,MODEL_B,BATCH_01
U000131,4705827,MODEL_A,BATCH_01
U000132,4744459,MODEL_A,BATCH_01
U000133,4780821,MODEL_A,BATCH_02
U000134,4818166,MODEL_A,BATCH_01
U000135,4861252,MODEL_B,BATCH_01
U000136,4896543,MODEL_A,BATCH_01
U000137,4926799,MODEL_A,BATCH_01
U000138,4964013,MODEL_A,BATCH_01
U000139,4998375,MODEL_A,BATCH_01
U000140,5035953,MODEL_B,BATCH_02
U000141,5069590,MODEL_A,BATCH_01
U000142,5107804,MODEL_A,BATCH_01
U000143,5144194,MODEL_A,BATCH_01
U000144,5175489,MODEL_A,BATCH_01
U000145,5211663,MODEL_B,BATCH_01
U000146,5250256,MODEL_A,BATCH_01
U000147,5284728,MODEL_A,BATCH_02
U000148,5315847,MODEL_A,BATCH_01
U000149,5353948,MODEL_A,BATCH_01
U000150,5382400,MODEL_B,BATCH_01
U000151,5419550,MODEL_A,BATCH_01
U000152,5455437,MODEL_A,BATCH_01
U000153,5494340,MODEL_A,BATCH_01
U000154,5529574,MODEL_A,BATCH_02
U000155,5567270,MODEL_B,BATCH_01
U000156,5610121,MODEL_A,BATCH_01
U000157,5648694,MODEL_A,BATCH_01
U000158,5688584,MODEL_A,BATCH_01
U000159,5729117,MODEL_A,BATCH_01
U000160,5774287,MODEL_B,BATCH_01
U000161,5813458,MODEL_A,BATCH_02
U000162,5851056,MODEL_A,BATCH_01
U000163,5888089,MODEL_A,BATCH_01
U000164,5936596,MODEL_A,BATCH_01
U000165,5979893,MODEL_B,BATCH_01
U000166,6016656,MODEL_A,BATCH_01
U000167,6053355,MODEL_A,BATCH_01
U000168,6092714,MODEL_A,BATCH_02
U000169,6129486,MODEL_A,BATCH_01
U000170,6171413,MODEL_B,BATCH_01
U000171,6216809,MODEL_A,BATCH_01
U000172,6260283,MODEL_A,BATCH_01
U000173,6299583,MODEL_A,BATCH_01
U000174,6344137,MODEL_A,BATCH_01
U000175,6389299,MODEL_B,BATCH_02
U000176,6422011,MODEL_A,BATCH_01
U000177,6463136,MODEL_A,BATCH_01
U000178,6500030,MODEL_A,BATCH_01
U000179,6546600,MODEL_A,BATCH_01
U000180,6586016,MODEL_B,BATCH_01
U000181,6622819,MODEL_A,BATCH_01
U000182,6661673,MODEL_A,BATCH_02
U000183,6701665,MODEL_A,BATCH_01
U000184,6738351,MODEL_A,BATCH_01
U000185,6776062,MODEL_B,BATCH_01
