unit_id,created_at_ms,vehicle_model,supplier_batch
U1,0,MODEL_A,BATCH_001
U2,10,MODEL_A,BATCH_001
U3,20,MODEL_A,BATCH_001
U4,30,MODEL_A,BATCH_001
U5,40,MODEL_A,BATCH_001
U6,50,MODEL_A,BATCH_001
U7,60,MODEL_A,BATCH_001
U8,70,MODEL_A,BATCH_001
U9,80,MODEL_A,BATCH_001
U10,90,MODEL_A,BATCH_001
U11,100,MODEL_A,BATCH_001
U12,110,MODEL_A,BATCH_001
U13,120,MODEL_A,BATCH_001
U14,130,MODEL_A,BATCH_001
U15,140,MODEL_A,BATCH_001
U16,150,MODEL_A,BATCH_001
U17,160,MODEL_A,BATCH_001
U18,170,MODEL_A,BATCH_001
U19,180,MODEL_A,BATCH_001
U20,190,MODEL_A,BATCH_001
U21,200,MODEL_A,BATCH_001
