feature,gain
queue_max_10m,2903.53759765625
eta_std,417.74200439453125
queue_mean_10m,390.42718505859375
station_id,340.37744140625
station_index,134.02891540527344
line_fraction,97.64656829833984
service_rate_per_min_prev10m,96.9228744506836
queue_std_10m,93.86894989013672
queue_slope_10m,72.40531921386719
cycle_max_10m,45.27960968017578
queue_delta_10m,44.98601531982422
base_cycle_time_ms,44.58819580078125
service_rate_per_min_10m,44.127540588378906
arrival_rate_per_min_prev10m,41.85397720336914
cycle_mean_10m,37.66273880004883
cycle_std_10m,35.03755187988281
net_flow_rate_10m,28.19029998779297
arrival_rate_per_min_10m,25.25716209411621
configured_cycle_std_ms,24.708715438842773
flow_pressure_10m,24.023378372192383
buffer_capacity,0.0
station_archetype,0.0
state_confidence,0.0
progress_std,0.0
