event_id,timestamp_ms,event_type,station_id,unit_id,checkpoint_id
CE000001,344722,POWER_DRAW,S07,U000001,CP2
CE000002,380256,RFID_CHECKPOINT,S07,U000002,CP1
CE000003,395327,POWER_DRAW,S07,U000002,CP2
CE000004,457473,RFID_CHECKPOINT,S07,U000003,CP1
CE000005,463724,POWER_DRAW,S07,U000003,CP2
CE000006,520026,RFID_CHECKPOINT,S07,U000004,CP1
CE000007,537022,POWER_DRAW,S07,U000004,CP2
CE000008,589114,RFID_CHECKPOINT,S07,U000005,CP1
CE000009,600338,POWER_DRAW,S07,U000005,CP2
CE000010,648410,RFID_CHECKPOINT,S07,U000006,CP1
CE000011,667532,POWER_DRAW,S07,U000006,CP2
CE000012,740470,RFID_CHECKPOINT,S14,U000002,CP1
CE000013,757464,POWER_DRAW,S14,U000002,CP2
CE000014,773869,RFID_CHECKPOINT,S07,U000008,CP1
CE000015,798649,POWER_DRAW,S07,U000008,CP2
CE000016,805248,RFID_CHECKPOINT,S14,U000003,CP1
CE000017,811027,POWER_DRAW,S14,U000003,CP2
CE000018,838363,RFID_CHECKPOINT,S07,U000009,CP1
CE000019,845813,POWER_DRAW,S07,U000009,CP2
CE000020,863255,RFID_CHECKPOINT,S14,U000004,CP1
CE000021,890596,RFID_CHECKPOINT,S07,U000010,CP1
CE000022,908966,POWER_DRAW,S07,U000010,CP2
CE000023,946700,RFID_CHECKPOINT,S07,U000011,CP1
CE000024,948181,RFID_CHECKPOINT,S14,U000005,CP1
CE000025,960150,POWER_DRAW,S07,U000011,CP2
CE000026,974979,POWER_DRAW,S14,U000005,CP2
CE000027,996098,RFID_CHECKPOINT,S07,U000012,CP1
CE000028,1016108,POWER_DRAW,S07,U000012,CP2
CE000029,1031542,RFID_CHECKPOINT,S21,U000001,CP1
CE000030,1038704,POWER_DRAW,S14,U000006,CP2
CE000031,1043294,POWER_DRAW,S21,U000001,CP2
CE000032,1053128,RFID_CHECKPOINT,S07,U000013,CP1
CE000033,1072800,POWER_DRAW,S07,U000013,CP2
CE000034,1098169,RFID_CHECKPOINT,S21,U000002,CP1
CE000035,1106100,RFID_CHECKPOINT,S07,U000014,CP1
CE000036,1109686,POWER_DRAW,S14,U000007,CP2
CE000037,1114540,POWER_DRAW,S21,U000002,CP2
CE000038,1123458,POWER_DRAW,S07,U000014,CP2
CE000039,1153884,RFID_CHECKPOINT,S14,U000008,CP1
CE000040,1162557,POWER_DRAW,S14,U000008,CP2
CE000041,1172553,RFID_CHECKPOINT,S21,U000002,CP1
CE000042,1172553,RFID_CHECKPOINT,S21,U000003,CP1
CE000043,1179918,RFID_CHECKPOINT,S07,U000015,CP1
CE000044,1185829,POWER_DRAW,S21,U000003,CP2
CE000045,1204281,POWER_DRAW,S07,U000015,CP2
CE000046,1208836,RFID_CHECKPOINT,S14,U000009,CP1
CE000047,1224983,POWER_DRAW,S14,U000009,CP2
CE000048,1242902,RFID_CHECKPOINT,S07,U000016,CP1
CE000049,1243858,RFID_CHECKPOINT,S21,U000004,CP1
CE000050,1257338,POWER_DRAW,S07,U000016,CP2
CE000051,1257654,POWER_DRAW,S21,U000004,CP2
CE000052,1291315,POWER_DRAW,S14,U000010,CP2
CE000053,1308534,RFID_CHECKPOINT,S07,U000017,CP1
CE000054,1330636,POWER_DRAW,S07,U000017,CP2
CE000055,1337678,POWER_DRAW,S21,U000005,CP2
CE000056,1338250,RFID_CHECKPOINT,S14,U000011,CP1
CE000057,1352571,POWER_DRAW,S14,U000011,CP2
CE000058,1361885,POWER_DRAW,S28,U000001,CP2
CE000059,1379437,RFID_CHECKPOINT,S21,U000006,CP1
CE000060,1387358,RFID_CHECKPOINT,S07,U000018,CP1
CE000061,1396338,POWER_DRAW,S21,U000006,CP2
CE000062,1407380,POWER_DRAW,S07,U000018,CP2
CE000063,1424078,POWER_DRAW,S14,U000012,CP2
CE000064,1444800,RFID_CHECKPOINT,S21,U000007,CP1
CE000065,1447654,RFID_CHECKPOINT,S07,U000019,CP1
CE000066,1452153,POWER_DRAW,S28,U000002,CP2
CE000067,1459042,POWER_DRAW,S07,U000019,CP2
CE000068,1460075,RFID_CHECKPOINT,S14,U000013,CP1
CE000069,1465236,POWER_DRAW,S21,U000007,CP2
CE000070,1471514,POWER_DRAW,S14,U000013,CP2
CE000071,1505414,POWER_DRAW,S07,U000020,CP2
CE000072,1515557,RFID_CHECKPOINT,S21,U000008,CP1
CE000073,1519769,RFID_CHECKPOINT,S28,U000003,CP1
CE000074,1522639,POWER_DRAW,S14,U000014,CP2
CE000075,1527553,POWER_DRAW,S21,U000008,CP2
CE000076,1534595,POWER_DRAW,S28,U000003,CP2
CE000077,1547652,RFID_CHECKPOINT,S07,U000021,CP1
CE000078,1559122,POWER_DRAW,S07,U000021,CP2
CE000079,1569822,RFID_CHECKPOINT,S14,U000014,CP1
CE000080,1569822,RFID_CHECKPOINT,S14,U000015,CP1
CE000081,1570470,RFID_CHECKPOINT,S21,U000009,CP1
CE000082,1587803,POWER_DRAW,S21,U000009,CP2
CE000083,1588849,POWER_DRAW,S14,U000015,CP2
CE000084,1593504,RFID_CHECKPOINT,S07,U000022,CP1
CE000085,1604722,POWER_DRAW,S07,U000022,CP2
CE000086,1606701,RFID_CHECKPOINT,S28,U000004,CP1
CE000087,1621290,POWER_DRAW,S28,U000004,CP2
CE000088,1638737,RFID_CHECKPOINT,S14,U000016,CP1
