timestamp_ms,station_id,unit_id,check_type,result
363198,S07,U000001,VISUAL_ALIGNMENT,PASS
401583,S07,U000002,VISUAL_ALIGNMENT,PASS
481079,S07,U000003,VISUAL_ALIGNMENT,PASS
553995,S07,U000004,VISUAL_ALIGNMENT,PASS
618346,S07,U000005,VISUAL_ALIGNMENT,PASS
686423,S07,U000006,VISUAL_ALIGNMENT,PASS
697301,S14,U000001,VISUAL_ALIGNMENT,PASS
731528,S07,U000007,VISUAL_ALIGNMENT,FAIL
776116,S14,U000002,VISUAL_ALIGNMENT,PASS
816493,S07,U000008,VISUAL_ALIGNMENT,PASS
826348,S14,U000003,VISUAL_ALIGNMENT,PASS
858653,S07,U000009,VISUAL_ALIGNMENT,PASS
886081,S14,U000004,VISUAL_ALIGNMENT,PASS
919965,S07,U000010,VISUAL_ALIGNMENT,PASS
971161,S07,U000011,VISUAL_ALIGNMENT,PASS
990351,S14,U000005,VISUAL_ALIGNMENT,PASS
1028420,S07,U000012,VISUAL_ALIGNMENT,FAIL
1053054,S21,U000001,VISUAL_ALIGNMENT,PASS
1060664,S14,U000006,VISUAL_ALIGNMENT,PASS
1083532,S07,U000013,VISUAL_ALIGNMENT,PASS
1127060,S14,U000007,VISUAL_ALIGNMENT,PASS
1127884,S21,U000002,VISUAL_ALIGNMENT,FAIL
1134946,S07,U000014,VISUAL_ALIGNMENT,PASS
1174405,S14,U000008,VISUAL_ALIGNMENT,PASS
1201399,S21,U000003,VISUAL_ALIGNMENT,PASS
1220506,S07,U000015,VISUAL_ALIGNMENT,PASS
1238724,S14,U000009,VISUAL_ALIGNMENT,PASS
1269645,S21,U000004,VISUAL_ALIGNMENT,PASS
1271720,S07,U000016,VISUAL_ALIGNMENT,PASS
1308871,S14,U000010,VISUAL_ALIGNMENT,PASS
1348149,S21,U000005,VISUAL_ALIGNMENT,PASS
1349103,S07,U000017,VISUAL_ALIGNMENT,PASS
1362966,S14,U000011,VISUAL_ALIGNMENT,PASS
1374650,S28,U000001,VISUAL_ALIGNMENT,PASS
1407331,S21,U000006,VISUAL_ALIGNMENT,PASS
1421199,S07,U000018,VISUAL_ALIGNMENT,PASS
1434454,S14,U000012,VISUAL_ALIGNMENT,FAIL
1458886,S28,U000002,VISUAL_ALIGNMENT,PASS
1475219,S21,U000007,VISUAL_ALIGNMENT,PASS
1476472,S07,U000019,VISUAL_ALIGNMENT,PASS
1484539,S14,U000013,VISUAL_ALIGNMENT,PASS
1518418,S07,U000020,VISUAL_ALIGNMENT,PASS
1535615,S21,U000008,VISUAL_ALIGNMENT,PASS
1538020,S14,U000014,VISUAL_ALIGNMENT,PASS
1542902,S28,U000003,VISUAL_ALIGNMENT,FAIL
1568401,S07,U000021,VISUAL_ALIGNMENT,PASS
1600713,S14,U000015,VISUAL_ALIGNMENT,PASS
1604321,S21,U000009,VISUAL_ALIGNMENT,PASS
1614828,S07,U000022,VISUAL_ALIGNMENT,PASS
1630954,S28,U000004,VISUAL_ALIGNMENT,PASS
1667999,S14,U000016,VISUAL_ALIGNMENT,PASS
1685958,S28,U000005,VISUAL_ALIGNMENT,PASS
1701366,S07,U000023,VISUAL_ALIGNMENT,PASS
1709742,S21,U000010,VISUAL_ALIGNMENT,PASS
1711528,S14,U000017,VISUAL_ALIGNMENT,PASS
1743017,S07,U000024,VISUAL_ALIGNMENT,PASS
1757056,S28,U000006,VISUAL_ALIGNMENT,PASS
1757513,S35,U000001,VISUAL_ALIGNMENT,PASS
1761957,S21,U000011,VISUAL_ALIGNMENT,PASS
1800080,S07,U000025,VISUAL_ALIGNMENT,PASS
1809950,S14,U000018,VISUAL_ALIGNMENT,PASS
1814845,S35,U000002,VISUAL_ALIGNMENT,PASS
1833556,S21,U000012,VISUAL_ALIGNMENT,FAIL
1842034,S28,U000007,VISUAL_ALIGNMENT,PASS
1872824,S07,U000026,VISUAL_ALIGNMENT,PASS
1881142,S14,U000019,VISUAL_ALIGNMENT,PASS
1898169,S21,U000013,VISUAL_ALIGNMENT,PASS
1904381,S35,U000003,VISUAL_ALIGNMENT,PASS
1915790,S28,U000008,VISUAL_ALIGNMENT,PASS
1931148,S07,U000027,VISUAL_ALIGNMENT,PASS
1947624,S14,U000020,VISUAL_ALIGNMENT,PASS
1967967,S21,U000014,VISUAL_ALIGNMENT,PASS
1973127,S35,U000004,VISUAL_ALIGNMENT,PASS
1978331,S28,U000009,VISUAL_ALIGNMENT,PASS
1998315,S07,U000028,VISUAL_ALIGNMENT,PASS
2002865,S14,U000021,VISUAL_ALIGNMENT,PASS
2019255,S21,U000015,VISUAL_ALIGNMENT,PASS
2055063,S28,U000010,VISUAL_ALIGNMENT,PASS
2067477,S07,U000029,VISUAL_ALIGNMENT,PASS
2069574,S35,U000005,VISUAL_ALIGNMENT,PASS
2070645,S21,U000016,VISUAL_ALIGNMENT,PASS
2073533,S14,U000022,VISUAL_ALIGNMENT,PASS
2119976,S07,U000030,VISUAL_ALIGNMENT,PASS
2123189,S21,U000017,VISUAL_ALIGNMENT,PASS
2128777,S35,U000006,VISUAL_ALIGNMENT,PASS
2135654,S28,U000011,VISUAL_ALIGNMENT,PASS
2153106,S14,U000023,VISUAL_ALIGNMENT,PASS
2188260,S07,U000031,VISUAL_ALIGNMENT,PASS
2202764,S35,U000007,VISUAL_ALIGNMENT,PASS
2209725,S14,U000024,VISUAL_ALIGNMENT,PASS
2216987,S28,U000012,VISUAL_ALIGNMENT,PASS
2219302,S21,U000018,VISUAL_ALIGNMENT,PASS
2249145,S35,U000008,VISUAL_ALIGNMENT,PASS
2251989,S07,U000032,VISUAL_ALIGNMENT,PASS
2259733,S14,U000025,VISUAL_ALIGNMENT,PASS
2261835,S21,U000019,VISUAL_ALIGNMENT,PASS
2304674,S28,U000013,VISUAL_ALIGNMENT,PASS
2310049,S14,U000026,VISUAL_ALIGNMENT,PASS
2314582,S21,U000020,VISUAL_ALIGNMENT,PASS
2317299,S07,U000033,VISUAL_ALIGNMENT,PASS
2338853,S35,U000009,VISUAL_ALIGNMENT,PASS
2374735,S14,U000027,VISUAL_ALIGNMENT,PASS
2375203,S21,U000021,VISUAL_ALIGNMENT,PASS
2375664,S28,U000014,VISUAL_ALIGNMENT,PASS
2384708,S07,U000034,VISUAL_ALIGNMENT,PASS
2400204,S35,U000010,VISUAL_ALIGNMENT,PASS
2424532,S28,U000015,VISUAL_ALIGNMENT,PASS
2436267,S07,U000035,VISUAL_ALIGNMENT,PASS
2464458,S14,U000028,VISUAL_ALIGNMENT,PASS
2469716,S21,U000022,VISUAL_ALIGNMENT,PASS
2475467,S35,U000011,VISUAL_ALIGNMENT,PASS
2476232,S28,U000016,VISUAL_ALIGNMENT,PASS
2524514,S07,U000036,VISUAL_ALIGNMENT,PASS
2526127,S28,U000017,VISUAL_ALIGNMENT,PASS
2528055,S14,U000029,VISUAL_ALIGNMENT,PASS
2531234,S21,U000023,VISUAL_ALIGNMENT,PASS
2559257,S35,U000012,VISUAL_ALIGNMENT,PASS
2589046,S28,U000018,VISUAL_ALIGNMENT,PASS
2590797,S07,U000037,VISUAL_ALIGNMENT,PASS
2597675,S14,U000030,VISUAL_ALIGNMENT,PASS
2608608,S21,U000024,VISUAL_ALIGNMENT,PASS
2640672,S35,U000013,VISUAL_ALIGNMENT,PASS
2646953,S28,U000019,VISUAL_ALIGNMENT,PASS
2664612,S14,U000031,VISUAL_ALIGNMENT,PASS
2668475,S07,U000038,VISUAL_ALIGNMENT,PASS
2681487,S21,U000025,VISUAL_ALIGNMENT,PASS
2717091,S35,U000014,VISUAL_ALIGNMENT,PASS
2719432,S07,U000039,VISUAL_ALIGNMENT,PASS
2736037,S14,U000032,VISUAL_ALIGNMENT,PASS
2736935,S28,U000020,VISUAL_ALIGNMENT,PASS
2753432,S21,U000026,VISUAL_ALIGNMENT,PASS
2776169,S07,U000040,VISUAL_ALIGNMENT,PASS
2785233,S14,U000033,VISUAL_ALIGNMENT,PASS
2789762,S35,U000015,VISUAL_ALIGNMENT,PASS
2790322,S28,U000021,VISUAL_ALIGNMENT,PASS
2815195,S21,U000027,VISUAL_ALIGNMENT,PASS
2828833,S07,U000041,VISUAL_ALIGNMENT,PASS
2834931,S14,U000034,VISUAL_ALIGNMENT,PASS
2857483,S35,U000016,VISUAL_ALIGNMENT,PASS
2858328,S28,U000022,VISUAL_ALIGNMENT,PASS
2876179,S21,U000028,VISUAL_ALIGNMENT,PASS
2886601,S07,U000042,VISUAL_ALIGNMENT,PASS
2889573,S14,U000035,VISUAL_ALIGNMENT,PASS
2921609,S28,U000023,VISUAL_ALIGNMENT,PASS
2922550,S35,U000017,VISUAL_ALIGNMENT,PASS
2930845,S21,U000029,VISUAL_ALIGNMENT,PASS
2939327,S07,U000043,VISUAL_ALIGNMENT,PASS
2963161,S14,U000036,VISUAL_ALIGNMENT,PASS
2968038,S28,U000024,VISUAL_ALIGNMENT,PASS
2979110,S35,U000018,VISUAL_ALIGNMENT,PASS
2989094,S21,U000030,VISUAL_ALIGNMENT,PASS
3002830,S07,U000044,VISUAL_ALIGNMENT,PASS
3029302,S14,U000037,VISUAL_ALIGNMENT,PASS
3036383,S28,U000025,VISUAL_ALIGNMENT,PASS
3043480,S35,U000019,VISUAL_ALIGNMENT,PASS
3059915,S07,U000045,VISUAL_ALIGNMENT,PASS
3077705,S21,U000031,VISUAL_ALIGNMENT,PASS
3088576,S14,U000038,VISUAL_ALIGNMENT,PASS
3094876,S35,U000020,VISUAL_ALIGNMENT,PASS
3103496,S28,U000026,VISUAL_ALIGNMENT,PASS
3122787,S07,U000046,VISUAL_ALIGNMENT,PASS
3132868,S21,U000032,VISUAL_ALIGNMENT,PASS
3148453,S14,U000039,VISUAL_ALIGNMENT,PASS
3150572,S35,U000021,VISUAL_ALIGNMENT,FAIL
3171937,S28,U000027,VISUAL_ALIGNMENT,PASS
3175329,S07,U000047,VISUAL_ALIGNMENT,PASS
3197471,S21,U000033,VISUAL_ALIGNMENT,PASS
3209390,S14,U000040,VISUAL_ALIGNMENT,PASS
3219094,S35,U000022,VISUAL_ALIGNMENT,PASS
3229048,S07,U000048,VISUAL_ALIGNMENT,PASS
3245979,S28,U000028,VISUAL_ALIGNMENT,PASS
3248405,S21,U000034,VISUAL_ALIGNMENT,PASS
3254177,S14,U000041,VISUAL_ALIGNMENT,FAIL
3272104,S35,U000023,VISUAL_ALIGNMENT,PASS
3296824,S07,U000049,VISUAL_ALIGNMENT,PASS
3304836,S21,U000035,VISUAL_ALIGNMENT,PASS
3315262,S35,U000024,VISUAL_ALIGNMENT,PASS
3316687,S28,U000029,VISUAL_ALIGNMENT,PASS
3333020,S14,U000042,VISUAL_ALIGNMENT,PASS
3341184,S07,U000050,VISUAL_ALIGNMENT,PASS
3370317,S21,U000036,VISUAL_ALIGNMENT,PASS
3384813,S07,U000051,VISUAL_ALIGNMENT,PASS
3386486,S28,U000030,VISUAL_ALIGNMENT,PASS
3388537,S14,U000043,VISUAL_ALIGNMENT,PASS
3408456,S35,U000025,VISUAL_ALIGNMENT,PASS
3438368,S14,U000044,VISUAL_ALIGNMENT,PASS
3438895,S21,U000037,VISUAL_ALIGNMENT,PASS
3445109,S28,U000031,VISUAL_ALIGNMENT,PASS
3451250,S07,U000052,VISUAL_ALIGNMENT,PASS
3479425,S35,U000026,VISUAL_ALIGNMENT,PASS
3499312,S21,U000038,VISUAL_ALIGNMENT,PASS
3525192,S14,U000045,VISUAL_ALIGNMENT,PASS
3533057,S07,U000053,VISUAL_ALIGNMENT,PASS
3536661,S28,U000032,VISUAL_ALIGNMENT,PASS
3541192,S35,U000027,VISUAL_ALIGNMENT,PASS
3569973,S21,U000039,VISUAL_ALIGNMENT,PASS
3580002,S14,U000046,VISUAL_ALIGNMENT,PASS
3583401,S28,U000033,VISUAL_ALIGNMENT,PASS
3606369,S07,U000054,VISUAL_ALIGNMENT,PASS
3612631,S35,U000028,VISUAL_ALIGNMENT,PASS
3623156,S21,U000040,VISUAL_ALIGNMENT,PASS
3642284,S28,U000034,VISUAL_ALIGNMENT,PASS
3646289,S14,U000047,VISUAL_ALIGNMENT,PASS
3656664,S07,U000055,VISUAL_ALIGNMENT,PASS
3677064,S35,U000029,VISUAL_ALIGNMENT,PASS
3683597,S21,U000041,VISUAL_ALIGNMENT,PASS
3702718,S28,U000035,VISUAL_ALIGNMENT,PASS
3704781,S07,U000056,VISUAL_ALIGNMENT,PASS
3707042,S14,U000048,VISUAL_ALIGNMENT,PASS
3737532,S21,U000042,VISUAL_ALIGNMENT,PASS
3741267,S35,U000030,VISUAL_ALIGNMENT,PASS
3760574,S07,U000057,VISUAL_ALIGNMENT,PASS
3761839,S14,U000049,VISUAL_ALIGNMENT,PASS
3772780,S28,U000036,VISUAL_ALIGNMENT,PASS
3811706,S14,U000050,VISUAL_ALIGNMENT,PASS
3815623,S35,U000031,VISUAL_ALIGNMENT,PASS
3816238,S21,U000043,VISUAL_ALIGNMENT,PASS
3817017,S07,U000058,VISUAL_ALIGNMENT,PASS
3820081,S28,U000037,VISUAL_ALIGNMENT,PASS
3864242,S14,U000051,VISUAL_ALIGNMENT,PASS
3865553,S35,U000032,VISUAL_ALIGNMENT,PASS
3868876,S28,U000038,VISUAL_ALIGNMENT,PASS
3870507,S07,U000059,VISUAL_ALIGNMENT,PASS
3874782,S21,U000044,VISUAL_ALIGNMENT,PASS
3933936,S21,U000045,VISUAL_ALIGNMENT,PASS
3937641,S35,U000033,VISUAL_ALIGNMENT,PASS
3937968,S07,U000060,VISUAL_ALIGNMENT,PASS
3944044,S14,U000052,VISUAL_ALIGNMENT,PASS
3948920,S28,U000039,VISUAL_ALIGNMENT,PASS
3981599,S21,U000046,VISUAL_ALIGNMENT,PASS
3992464,S14,U000053,VISUAL_ALIGNMENT,PASS
3996330,S35,U000034,VISUAL_ALIGNMENT,PASS
3997803,S07,U000061,VISUAL_ALIGNMENT,PASS
4019743,S28,U000040,VISUAL_ALIGNMENT,PASS
4024144,S21,U000047,VISUAL_ALIGNMENT,PASS
4035729,S14,U000054,VISUAL_ALIGNMENT,PASS
4058653,S07,U000062,VISUAL_ALIGNMENT,PASS
4060663,S35,U000035,VISUAL_ALIGNMENT,PASS
4078201,S21,U000048,VISUAL_ALIGNMENT,PASS
4084247,S28,U000041,VISUAL_ALIGNMENT,PASS
4103602,S14,U000055,VISUAL_ALIGNMENT,PASS
4129852,S07,U000063,VISUAL_ALIGNMENT,PASS
4130583,S21,U000049,VISUAL_ALIGNMENT,PASS
4134995,S35,U000036,VISUAL_ALIGNMENT,PASS
4162783,S14,U000056,VISUAL_ALIGNMENT,PASS
4168235,S28,U000042,VISUAL_ALIGNMENT,PASS
4181340,S35,U000037,VISUAL_ALIGNMENT,PASS
4186257,S07,U000064,VISUAL_ALIGNMENT,PASS
4200448,S21,U000050,VISUAL_ALIGNMENT,PASS
4216781,S14,U000057,VISUAL_ALIGNMENT,PASS
4216931,S28,U000043,VISUAL_ALIGNMENT,PASS
4234980,S35,U000038,VISUAL_ALIGNMENT,FAIL
4234991,S07,U000065,VISUAL_ALIGNMENT,PASS
4262051,S21,U000051,VISUAL_ALIGNMENT,PASS
4269203,S14,U000058,VISUAL_ALIGNMENT,PASS
4277130,S28,U000044,VISUAL_ALIGNMENT,PASS
4287737,S07,U000066,VISUAL_ALIGNMENT,PASS
4294210,S35,U000039,VISUAL_ALIGNMENT,PASS
4319945,S21,U000052,VISUAL_ALIGNMENT,PASS
4335212,S28,U000045,VISUAL_ALIGNMENT,PASS
4341956,S14,U000059,VISUAL_ALIGNMENT,PASS
4355785,S07,U000067,VISUAL_ALIGNMENT,PASS
4369088,S35,U000040,VISUAL_ALIGNMENT,PASS
4376826,S21,U000053,VISUAL_ALIGNMENT,PASS
4393011,S28,U000046,VISUAL_ALIGNMENT,PASS
4395209,S14,U000060,VISUAL_ALIGNMENT,PASS
4421591,S07,U000068,VISUAL_ALIGNMENT,PASS
4438482,S35,U000041,VISUAL_ALIGNMENT,PASS
4444936,S14,U000061,VISUAL_ALIGNMENT,PASS
4450027,S21,U000054,VISUAL_ALIGNMENT,PASS
4451233,S28,U000047,VISUAL_ALIGNMENT,PASS
4467837,S07,U000069,VISUAL_ALIGNMENT,PASS
4506543,S35,U000042,VISUAL_ALIGNMENT,PASS
4507224,S21,U000055,VISUAL_ALIGNMENT,PASS
4508940,S14,U000062,VISUAL_ALIGNMENT,PASS
4519127,S28,U000048,VISUAL_ALIGNMENT,PASS
4533413,S07,U000070,VISUAL_ALIGNMENT,PASS
4571120,S28,U000049,VISUAL_ALIGNMENT,PASS
4576472,S14,U000063,VISUAL_ALIGNMENT,PASS
4576814,S35,U000043,VISUAL_ALIGNMENT,PASS
4594751,S07,U000071,VISUAL_ALIGNMENT,PASS
4605056,S21,U000056,VISUAL_ALIGNMENT,PASS
4620826,S28,U000050,VISUAL_ALIGNMENT,PASS
4631823,S14,U000064,VISUAL_ALIGNMENT,PASS
4633185,S35,U000044,VISUAL_ALIGNMENT,PASS
4663390,S28,U000051,VISUAL_ALIGNMENT,PASS
4676567,S07,U000072,VISUAL_ALIGNMENT,PASS
4679432,S35,U000045,VISUAL_ALIGNMENT,PASS
4685113,S14,U000065,VISUAL_ALIGNMENT,PASS
4686600,S21,U000057,VISUAL_ALIGNMENT,PASS
4734917,S28,U000052,VISUAL_ALIGNMENT,PASS
4741540,S07,U000073,VISUAL_ALIGNMENT,PASS
4742131,S14,U000066,VISUAL_ALIGNMENT,PASS
4747998,S35,U000046,VISUAL_ALIGNMENT,PASS
4750728,S21,U000058,VISUAL_ALIGNMENT,PASS
4794978,S14,U000067,VISUAL_ALIGNMENT,PASS
4799006,S28,U000053,VISUAL_ALIGNMENT,PASS
4805384,S35,U000047,VISUAL_ALIGNMENT,PASS
4809650,S07,U000074,VISUAL_ALIGNMENT,PASS
4817616,S21,U000059,VISUAL_ALIGNMENT,PASS
4847441,S14,U000068,VISUAL_ALIGNMENT,PASS
4858319,S35,U000048,VISUAL_ALIGNMENT,PASS
4869169,S28,U000054,VISUAL_ALIGNMENT,PASS
4872002,S07,U000075,VISUAL_ALIGNMENT,PASS
4876835,S21,U000060,VISUAL_ALIGNMENT,PASS
4902069,S14,U000069,VISUAL_ALIGNMENT,PASS
4912188,S07,U000076,VISUAL_ALIGNMENT,PASS
4915564,S28,U000055,VISUAL_ALIGNMENT,PASS
4922031,S35,U000049,VISUAL_ALIGNMENT,PASS
4942182,S21,U000061,VISUAL_ALIGNMENT,FAIL
4963077,S14,U000070,VISUAL_ALIGNMENT,PASS
4965724,S35,U000050,VISUAL_ALIGNMENT,PASS
4970950,S28,U000056,VISUAL_ALIGNMENT,PASS
4984093,S07,U000077,VISUAL_ALIGNMENT,PASS
4998193,S21,U000062,VISUAL_ALIGNMENT,PASS
5014732,S28,U000057,VISUAL_ALIGNMENT,PASS
5030695,S07,U000078,VISUAL_ALIGNMENT,PASS
5039746,S14,U000071,VISUAL_ALIGNMENT,PASS
5055130,S35,U000051,VISUAL_ALIGNMENT,PASS
5067018,S21,U000063,VISUAL_ALIGNMENT,PASS
5105992,S07,U000079,VISUAL_ALIGNMENT,PASS
5107168,S14,U000072,VISUAL_ALIGNMENT,PASS
5113012,S35,U000052,VISUAL_ALIGNMENT,PASS
5120597,S28,U000058,VISUAL_ALIGNMENT,PASS
5129881,S21,U000064,VISUAL_ALIGNMENT,PASS
5164123,S07,U000080,VISUAL_ALIGNMENT,PASS
5167173,S14,U000073,VISUAL_ALIGNMENT,PASS
5168298,S35,U000053,VISUAL_ALIGNMENT,PASS
5188468,S28,U000059,VISUAL_ALIGNMENT,PASS
5197856,S21,U000065,VISUAL_ALIGNMENT,PASS
5212881,S07,U000081,VISUAL_ALIGNMENT,PASS
5218764,S35,U000054,VISUAL_ALIGNMENT,PASS
5220670,S14,U000074,VISUAL_ALIGNMENT,PASS
5237430,S28,U000060,VISUAL_ALIGNMENT,PASS
5241430,S21,U000066,VISUAL_ALIGNMENT,PASS
5274767,S07,U000082,VISUAL_ALIGNMENT,PASS
5275460,S35,U000055,VISUAL_ALIGNMENT,PASS
5290603,S14,U000075,VISUAL_ALIGNMENT,PASS
5303099,S21,U000067,VISUAL_ALIGNMENT,PASS
5304631,S28,U000061,VISUAL_ALIGNMENT,PASS
5327062,S35,U000056,VISUAL_ALIGNMENT,PASS
5329799,S07,U000083,VISUAL_ALIGNMENT,PASS
5335432,S14,U000076,VISUAL_ALIGNMENT,PASS
5347984,S28,U000062,VISUAL_ALIGNMENT,PASS
5358975,S21,U000068,VISUAL_ALIGNMENT,PASS
5390604,S35,U000057,VISUAL_ALIGNMENT,PASS
5409725,S14,U000077,VISUAL_ALIGNMENT,PASS
5416277,S07,U000084,VISUAL_ALIGNMENT,PASS
5419330,S21,U000069,VISUAL_ALIGNMENT,PASS
5432540,S28,U000063,VISUAL_ALIGNMENT,FAIL
5453211,S14,U000078,VISUAL_ALIGNMENT,PASS
5474792,S07,U000085,VISUAL_ALIGNMENT,PASS
5476140,S21,U000070,VISUAL_ALIGNMENT,PASS
5478209,S35,U000058,VISUAL_ALIGNMENT,PASS
5488985,S28,U000064,VISUAL_ALIGNMENT,PASS
5516198,S14,U000079,VISUAL_ALIGNMENT,PASS
5527952,S21,U000071,VISUAL_ALIGNMENT,FAIL
5541243,S07,U000086,VISUAL_ALIGNMENT,PASS
5541763,S35,U000059,VISUAL_ALIGNMENT,PASS
5568953,S28,U000065,VISUAL_ALIGNMENT,PASS
5582382,S21,U000072,VISUAL_ALIGNMENT,PASS
5583466,S14,U000080,VISUAL_ALIGNMENT,PASS
5590050,S07,U000087,VISUAL_ALIGNMENT,PASS
5604842,S35,U000060,VISUAL_ALIGNMENT,PASS
5629402,S21,U000073,VISUAL_ALIGNMENT,PASS
5638372,S07,U000088,VISUAL_ALIGNMENT,PASS
5642055,S14,U000081,VISUAL_ALIGNMENT,PASS
5656106,S28,U000066,VISUAL_ALIGNMENT,PASS
5682552,S21,U000074,VISUAL_ALIGNMENT,PASS
5688573,S35,U000061,VISUAL_ALIGNMENT,PASS
5710647,S07,U000089,VISUAL_ALIGNMENT,PASS
5716206,S28,U000067,VISUAL_ALIGNMENT,PASS
5718797,S14,U000082,VISUAL_ALIGNMENT,PASS
5737222,S35,U000062,VISUAL_ALIGNMENT,PASS
5758438,S21,U000075,VISUAL_ALIGNMENT,PASS
5760467,S28,U000068,VISUAL_ALIGNMENT,PASS
5760829,S14,U000083,VISUAL_ALIGNMENT,PASS
5769913,S07,U000090,VISUAL_ALIGNMENT,PASS
5799739,S35,U000063,VISUAL_ALIGNMENT,FAIL
5816084,S21,U000076,VISUAL_ALIGNMENT,PASS
5819830,S07,U000091,VISUAL_ALIGNMENT,PASS
5824369,S28,U000069,VISUAL_ALIGNMENT,PASS
5834917,S14,U000084,VISUAL_ALIGNMENT,FAIL
5867953,S21,U000077,VISUAL_ALIGNMENT,PASS
5873018,S35,U000064,VISUAL_ALIGNMENT,PASS
5874375,S07,U000092,VISUAL_ALIGNMENT,PASS
5887157,S28,U000070,VISUAL_ALIGNMENT,FAIL
5913793,S14,U000085,VISUAL_ALIGNMENT,PASS
5919516,S35,U000065,VISUAL_ALIGNMENT,PASS
5935972,S21,U000078,VISUAL_ALIGNMENT,PASS
5937454,S28,U000071,VISUAL_ALIGNMENT,PASS
5944578,S07,U000093,VISUAL_ALIGNMENT,PASS
5981692,S14,U000086,VISUAL_ALIGNMENT,PASS
5984443,S21,U000079,VISUAL_ALIGNMENT,PASS
5989549,S07,U000094,VISUAL_ALIGNMENT,PASS
5996025,S28,U000072,VISUAL_ALIGNMENT,PASS
6004621,S35,U000066,VISUAL_ALIGNMENT,PASS
6025637,S21,U000080,VISUAL_ALIGNMENT,PASS
6042300,S07,U000095,VISUAL_ALIGNMENT,PASS
6048857,S14,U000087,VISUAL_ALIGNMENT,PASS
6071288,S35,U000067,VISUAL_ALIGNMENT,PASS
6082347,S28,U000073,VISUAL_ALIGNMENT,PASS
6108365,S21,U000081,VISUAL_ALIGNMENT,PASS
6115647,S35,U000068,VISUAL_ALIGNMENT,PASS
6116271,S07,U000096,VISUAL_ALIGNMENT,PASS
6122713,S14,U000088,VISUAL_ALIGNMENT,PASS
6148112,S28,U000074,VISUAL_ALIGNMENT,PASS
6162720,S07,U000097,VISUAL_ALIGNMENT,PASS
6168919,S35,U000069,VISUAL_ALIGNMENT,PASS
6182378,S21,U000082,VISUAL_ALIGNMENT,PASS
6190939,S14,U000089,VISUAL_ALIGNMENT,PASS
6218586,S28,U000075,VISUAL_ALIGNMENT,PASS
6241846,S35,U000070,VISUAL_ALIGNMENT,PASS
6246027,S14,U000090,VISUAL_ALIGNMENT,PASS
6246450,S07,U000098,VISUAL_ALIGNMENT,PASS
6255330,S21,U000083,VISUAL_ALIGNMENT,PASS
6285182,S07,U000099,VISUAL_ALIGNMENT,PASS
6285973,S14,U000091,VISUAL_ALIGNMENT,PASS
6297718,S28,U000076,VISUAL_ALIGNMENT,PASS
6313552,S35,U000071,VISUAL_ALIGNMENT,PASS
6321585,S21,U000084,VISUAL_ALIGNMENT,FAIL
6341490,S14,U000092,VISUAL_ALIGNMENT,PASS
6353732,S28,U000077,VISUAL_ALIGNMENT,PASS
6358112,S07,U000100,VISUAL_ALIGNMENT,PASS
6376761,S35,U000072,VISUAL_ALIGNMENT,PASS
