station_id,name,archetype,base_cycle_time_ms,cycle_time_std_ms,buffer_capacity,sensor_coverage
S01,Station_1,AUTOMATED,38000,3800,0,PARTIAL
S02,Station_2,AUTOMATED,42500,4250,4,HIGH
S03,Station_3,AUTOMATED,47000,4700,4,HIGH
S04,Station_4,AUTOMATED,51500,5150,4,HIGH
S05,Station_5,AUTOMATED,56000,5600,4,PARTIAL
S06,Station_6,AUTOMATED,60500,6050,4,HIGH
S07,Station_7,MANUAL,60000,10800,2,NONE
S08,Station_8,AUTOMATED,42500,4250,4,HIGH
S09,Station_9,AUTOMATED,47000,4700,4,PARTIAL
S10,Station_10,INSPECTION,50000,5000,4,PARTIAL
S11,Station_11,AUTOMATED,56000,5600,4,HIGH
S12,Station_12,AUTOMATED,60500,6050,4,HIGH
S13,Station_13,AUTOMATED,38000,3800,4,PARTIAL
S14,Station_14,MANUAL,60000,10800,2,NONE
S15,Station_15,AUTOMATED,47000,4700,4,HIGH
S16,Station_16,AUTOMATED,51500,5150,4,HIGH
S17,Station_17,AUTOMATED,56000,5600,4,PARTIAL
S18,Station_18,AUTOMATED,60500,6050,4,HIGH
S19,Station_19,AUTOMATED,38000,3800,4,HIGH
S20,Station_20,INSPECTION,50000,5000,4,PARTIAL
S21,Station_21,MANUAL,60000,10800,2,NONE
S22,Station_22,AUTOMATED,51500,5150,4,HIGH
S23,Station_23,AUTOMATED,56000,5600,4,HIGH
S24,Station_24,AUTOMATED,60500,6050,4,HIGH
S25,Station_25,AUTOMATED,38000,3800,4,PARTIAL
S26,Station_26,AUTOMATED,42500,4250,4,HIGH
S27,Station_27,AUTOMATED,47000,4700,4,HIGH
S28,Station_28,MANUAL,60000,10800,2,NONE
S29,Station_29,AUTOMATED,56000,5600,4,PARTIAL
S30,Station_30,INSPECTION,50000,5000,4,PARTIAL
S31,Station_31,AUTOMATED,38000,3800,4,HIGH
S32,Station_32,AUTOMATED,42500,4250,4,HIGH
S33,Station_33,AUTOMATED,47000,4700,4,PARTIAL
S34,Station_34,AUTOMATED,51500,5150,4,HIGH
S35,Station_35,MANUAL,60000,10800,2,NONE
S36,Station_36,AUTOMATED,60500,6050,4,HIGH
S37,Station_37,AUTOMATED,38000,3800,4,PARTIAL
S38,Station_38,AUTOMATED,42500,4250,4,HIGH
S39,Station_39,AUTOMATED,47000,4700,4,HIGH
S40,Station_40,INSPECTION,50000,5000,4,PARTIAL
