timestamp_ms,station_id,sensor_type,value,unit
0,S01,VIBRATION,1.19776,g
0,S01,TEMPERATURE,60.8251,C
0,S03,VIBRATION,0.31132,g
0,S03,TEMPERATURE,38.9703,C
0,S03,CURRENT,2.15781,A
0,S08,VIBRATION,0.161624,g
0,S08,TEMPERATURE,38.9493,C
0,S08,CURRENT,2.35471,A
0,S17,VIBRATION,0.137828,g
0,S17,TEMPERATURE,39.2502,C
0,S36,VIBRATION,0.218703,g
0,S36,TEMPERATURE,39.0761,C
0,S36,CURRENT,2.2027,A
0,S37,VIBRATION,0.192847,g
0,S37,TEMPERATURE,39.4125,C
0,S40,VIBRATION,0.188508,g
0,S40,TEMPERATURE,39.0405,C
0,S18,VIBRATION,0.154329,g
0,S18,TEMPERATURE,38.7667,C
0,S18,CURRENT,2.04594,A
0,S38,VIBRATION,0.211222,g
0,S38,TEMPERATURE,39.1905,C
0,S38,CURRENT,2.08363,A
0,S39,VIBRATION,0.118009,g
0,S39,TEMPERATURE,39.0075,C
0,S39,CURRENT,2.41191,A
0,S09,VIBRATION,0.131275,g
0,S09,TEMPERATURE,39.0877,C
0,S19,VIBRATION,0.22155,g
0,S19,TEMPERATURE,38.7801,C
0,S19,CURRENT,2.16271,A
0,S20,VIBRATION,0.168523,g
0,S20,TEMPERATURE,38.8347,C
0,S04,VIBRATION,0.229294,g
0,S04,TEMPERATURE,39.1226,C
0,S04,CURRENT,2.08162,A
0,S10,VIBRATION,0.128772,g
0,S10,TEMPERATURE,39.2113,C
0,S22,VIBRATION,0.175257,g
0,S22,TEMPERATURE,39.1067,C
0,S22,CURRENT,2.24586,A
0,S23,VIBRATION,0.175818,g
0,S23,TEMPERATURE,38.9648,C
0,S23,CURRENT,2.17316,A
0,S11,VIBRATION,0.22132,g
0,S11,TEMPERATURE,38.9564,C
0,S11,CURRENT,2.18516,A
0,S24,VIBRATION,0.218782,g
0,S24,TEMPERATURE,38.9378,C
0,S24,CURRENT,2.28627,A
0,S25,VIBRATION,0.169384,g
0,S25,TEMPERATURE,38.9376,C
0,S02,VIBRATION,0.198022,g
0,S02,TEMPERATURE,38.995,C
0,S02,CURRENT,2.06737,A
0,S05,VIBRATION,0.181964,g
0,S05,TEMPERATURE,39.2464,C
0,S12,VIBRATION,0.238624,g
0,S12,TEMPERATURE,39.1456,C
0,S12,CURRENT,2.25453,A
0,S26,VIBRATION,0.118684,g
0,S26,TEMPERATURE,39.331,C
0,S26,CURRENT,2.18091,A
0,S27,VIBRATION,0.198477,g
0,S27,TEMPERATURE,39.4448,C
