unit_id,created_at_ms,vehicle_model,supplier_batch
U000001,0,MODEL_A,BATCH_01
U000002,42326,MODEL_A,BATCH_01
U000003,74981,MODEL_A,BATCH_01
U000004,111660,MODEL_A,BATCH_01
U000005,147155,MODEL_B,BATCH_01
U000006,182713,MODEL_A,BATCH_01
U000007,222710,MODEL_A,BATCH_02
U000008,264439,MODEL_A,BATCH_01
U000009,300027,MODEL_A,BATCH_01
U000010,341900,MODEL_B,BATCH_01
U000011,379187,MODEL_A,BATCH_01
U000012,416839,MODEL_A,BATCH_01
U000013,454396,MODEL_A,BATCH_01
U000014,493262,MODEL_A,BATCH_02
U000015,526087,MODEL_B,BATCH_01
U000016,564550,MODEL_A,BATCH_01
U000017,605580,MODEL_A,BATCH_01
U000018,640999,MODEL_A,BATCH_01
U000019,675352,MODEL_A,BATCH_01
U000020,713732,MODEL_B,BATCH_01
U000021,746746,MODEL_A,BATCH_02
U000022,781773,MODEL_A,BATCH_01
U000023,817887,MODEL_A,BATCH_01
U000024,850720,MODEL_A,BATCH_01
U000025,888581,MODEL_B,BATCH_01
U000026,923626,MODEL_A,BATCH_01
U000027,960497,MODEL_A,BATCH_01
U000028,997688,MODEL_A,BATCH_02
U000029,1032828,MODEL_A,BATCH_01
U000030,1065488,MODEL_B,BATCH_01
U000031,1108444,MODEL_A,BATCH_01
U000032,1153908,MODEL_A,BATCH_01
U000033,1194270,MODEL_A,BATCH_01
U000034,1239222,MODEL_A,BATCH_01
U000035,1273422,MODEL_B,BATCH_02
U000036,1314401,MODEL_A,BATCH_01
U000037,1354313,MODEL_A,BATCH_01
U000038,1398262,MODEL_A,BATCH_01
U000039,1453529,MODEL_A,BATCH_01
U000040,1499948,MODEL_B,BATCH_01
U000041,1538521,MODEL_A,BATCH_01
U000042,1587942,MODEL_A,BATCH_02
U000043,1640797,MODEL_A,BATCH_01
U000044,1690530,MODEL_A,BATCH_01
U000045,1731137,MODEL_B,BATCH_01
U000046,1776412,MODEL_A,BATCH_01
U000047,1827571,MODEL_A,BATCH_01
U000048,1874655,MODEL_A,BATCH_01
U000049,1914278,MODEL_A,BATCH_02
U000050,1954309,MODEL_B,BATCH_01
U000051,1998553,MODEL_A,BATCH_01
U000052,2051844,MODEL_A,BATCH_01
U000053,2097068,MODEL_A,BATCH_01
U000054,2144220,MODEL_A,BATCH_01
U000055,2187777,MODEL_B,BATCH_01
U000056,2232902,MODEL_A,BATCH_02
U000057,2285653,MODEL_A,BATCH_01
U000058,2340222,MODEL_A,BATCH_01
U000059,2394459,MODEL_A,BATCH_01
U000060,2449168,MODEL_B,BATCH_01
U000061,2502811,MODEL_A,BATCH_01
U000062,2552027,MODEL_A,BATCH_01
U000063,2598702,MODEL_A,BATCH_02
U000064,2644473,MODEL_A,BATCH_01
U000065,2695825,MODEL_B,BATCH_01
U000066,2733454,MODEL_A,BATCH_01
U000067,2778977,MODEL_A,BATCH_01
U000068,2825807,MODEL_A,BATCH_01
U000069,2875465,MODEL_A,BATCH_01
U000070,2937611,MODEL_B,BATCH_02
U000071,2994402,MODEL_A,BATCH_01
U000072,3041204,MODEL_A,BATCH_01
U000073,3090256,MODEL_A,BATCH_01
U000074,3144292,MODEL_A,BATCH_01
U000075,3191537,MODEL_B,BATCH_01
U000076,3247441,MODEL_A,BATCH_01
U000077,3311281,MODEL_A,BATCH_02
U000078,3371051,MODEL_A,BATCH_01
U000079,3425221,MODEL_A,BATCH_01
U000080,3490423,MODEL_B,BATCH_01
U000081,3551988,MODEL_A,BATCH_01
U000082,3610371,MODEL_A,BATCH_01
U000083,3664907,MODEL_A,BATCH_01
U000084,3728721,MODEL_A,BATCH_02
U000085,3791361,MODEL_B,BATCH_01
U000086,3849325,MODEL_A,BATCH_01
U000087,3909174,MODEL_A,BATCH_01
U000088,3970785,MODEL_A,BATCH_01
U000089,4022352,MODEL_A,BATCH_01
U000090,4077445,MODEL_B,BATCH_01
U000091,4133620,MODEL_A,BATCH_02
U000092,4199223,MODEL_A,BATCH_01
U000093,4263494,MODEL_A,BATCH_01
U000094,4331195,MODEL_A,BATCH_01
U000095,4394913,MODEL_B,BATCH_01
U000096,4458504,MODEL_A,BATCH_01
U000097,4523166,MODEL_A,BATCH_01
U000098,4586327,MODEL_A,BATCH_02
U000099,4652245,MODEL_A,BATCH_01
U000100,4709346,MODEL_B,BATCH_01
U000101,4767634,MODEL_A,BATCH_01
U000102,4835467,MODEL_A,BATCH_01
U000103,4894911,MODEL_A,BATCH_01
U000104,4959175,MODEL_A,BATCH_01
U000105,5027443,MODEL_B,BATCH_02
U000106,5090964,MODEL_A,BATCH_01
U000107,5163165,MODEL_A,BATCH_01
U000108,5214157,MODEL_A,BATCH_01
U000109,5267978,MODEL_A,BATCH_01
U000110,5332921,MODEL_B,BATCH_01
U000111,5390994,MODEL_A,BATCH_01
U000112,5460148,MODEL_A,BATCH_02
U000113,5515827,MODEL_A,BATCH_01
U000114,5576459,MODEL_A,BATCH_01
U000115,5634822,MODEL_B,BATCH_01
U000116,5703345,MODEL_A,BATCH_01
U000117,5762887,MODEL_A,BATCH_01
U000118,5834950,MODEL_A,BATCH_01
