event_id,timestamp_ms,event_type,station_id,unit_id,queue_length_after,previous_state,new_state,cycle_time_ms
EV000001,0,PROCESSING_STARTED,S01,U000001,0,IDLE,PROCESSING,37423
EV000002,37423,PROCESSING_COMPLETED,S01,U000001,0,PROCESSING,,37423
EV000003,37423,UNIT_ARRIVED,S02,U000001,1,,,
EV000004,37423,PROCESSING_STARTED,S02,U000001,0,IDLE,PROCESSING,37802
EV000005,37423,PROCESSING_STARTED,S01,U000002,0,IDLE,PROCESSING,36924
EV000006,74347,PROCESSING_COMPLETED,S01,U000002,0,PROCESSING,,36924
EV000007,74347,UNIT_ARRIVED,S02,U000002,1,,,
EV000008,74347,PROCESSING_STARTED,S01,U000003,0,IDLE,PROCESSING,34086
EV000009,75225,PROCESSING_COMPLETED,S02,U000001,1,PROCESSING,,37802
EV000010,75225,UNIT_ARRIVED,S03,U000001,1,,,
EV000011,75225,PROCESSING_STARTED,S03,U000001,0,IDLE,PROCESSING,52064
EV000012,75225,PROCESSING_STARTED,S02,U000002,0,IDLE,PROCESSING,45264
EV000013,108433,PROCESSING_COMPLETED,S01,U000003,0,PROCESSING,,34086
EV000014,108433,UNIT_ARRIVED,S02,U000003,1,,,
EV000015,108433,PROCESSING_STARTED,S01,U000004,0,IDLE,PROCESSING,41722
EV000016,120489,PROCESSING_COMPLETED,S02,U000002,1,PROCESSING,,45264
EV000017,120489,UNIT_ARRIVED,S03,U000002,1,,,
EV000018,120489,PROCESSING_STARTED,S02,U000003,0,IDLE,PROCESSING,37455
EV000019,127289,PROCESSING_COMPLETED,S03,U000001,1,PROCESSING,,52064
EV000020,127289,UNIT_ARRIVED,S04,U000001,1,,,
EV000021,127289,PROCESSING_STARTED,S04,U000001,0,IDLE,PROCESSING,44544
EV000022,127289,PROCESSING_STARTED,S03,U000002,0,IDLE,PROCESSING,45642
EV000023,150155,PROCESSING_COMPLETED,S01,U000004,0,PROCESSING,,41722
EV000024,150155,UNIT_ARRIVED,S02,U000004,1,,,
EV000025,150155,PROCESSING_STARTED,S01,U000005,0,IDLE,PROCESSING,42192
EV000026,157944,PROCESSING_COMPLETED,S02,U000003,1,PROCESSING,,37455
EV000027,157944,UNIT_ARRIVED,S03,U000003,1,,,
EV000028,157944,PROCESSING_STARTED,S02,U000004,0,IDLE,PROCESSING,43339
EV000029,171833,PROCESSING_COMPLETED,S04,U000001,0,PROCESSING,,44544
EV000030,171833,UNIT_ARRIVED,S05,U000001,1,,,
EV000031,171833,PROCESSING_STARTED,S05,U000001,0,IDLE,PROCESSING,53545
EV000032,172931,PROCESSING_COMPLETED,S03,U000002,1,PROCESSING,,45642
EV000033,172931,UNIT_ARRIVED,S04,U000002,1,,,
EV000034,172931,PROCESSING_STARTED,S04,U000002,0,STARVED,PROCESSING,51116
EV000035,172931,PROCESSING_STARTED,S03,U000003,0,IDLE,PROCESSING,48099
EV000036,192347,PROCESSING_COMPLETED,S01,U000005,0,PROCESSING,,42192
EV000037,192347,UNIT_ARRIVED,S02,U000005,1,,,
EV000038,192347,PROCESSING_STARTED,S01,U000006,0,IDLE,PROCESSING,37247
